name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rush_att_pg,rush_yds_pg,rush_tds_pg,rec_pg,rec_yds_pg,rec_tds_pg,rush_yards_per_att,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Jeremiyah Love,RB,Notre Dame,0.0,3.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.5773502691896258,0,1,0,0
Jadarian Price,RB,Notre Dame,0.0,32.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.4965075614664802,0.17677669529663687,0,1,0,0
Kaelon Black,RB,Indiana,0.0,90.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.51085950651685,0.10540925533894598,0,1,0,0
Jonah Coleman,RB,Washington,0.0,108.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.6913478822291435,0.09622504486493763,0,1,0,0
Mike Washington Jr.,RB,Arkansas,0.0,122.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.812184355372417,0.09053574604251853,0,1,0,0
Emmett Johnson,RB,Nebraska,0.0,161.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.087596335232384,0.07881104062391006,0,1,0,0
Nicholas Singleton,RB,Penn State,0.0,165.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.111987788356544,0.0778498944161523,0,1,0,0
Adam Randall,RB,Clemson,0.0,174.0,2025,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.1647859739235145,0.07580980435789034,0,1,0,0
Kaytron Allen,RB,Penn State,0.0,187.0,2025,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.236441962829949,0.07312724241271307,0,1,0,0
Demond Claiborne,RB,Wake Forest,0.0,198.0,2025,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.293304824724492,0.07106690545187015,0,1,0,0
Eli Heidenreich,RB,Navy,0.0,230.0,2025,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.442417710521793,0.0659380473395787,0,1,0,0
Seth McGowan,RB,Kentucky,0.0,237.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.472270673671475,0.06495698024616309,0,1,0,0
Jam Miller,RB,Alabama,0.0,245.0,2025,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.5053315359323625,0.06388765649999399,0,1,0,0
