name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,pass_yds_pg,pass_tds_pg,pass_int_pg,rush_yds_pg,rush_tds_pg,completion_pct,pass_rating,yards_per_attempt,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Cam Ward,QB,Miami (FL),0.0,1.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0,1,0,0,0
Jaxson Dart,QB,Ole Miss,0.0,25.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.2,1,0,0,0
Tyler Shough,QB,Louisville,0.0,40.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.713572066704308,0.15811388300841897,1,0,0,0
Jalen Milroe,QB,Alabama,0.0,92.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.532599493153256,0.10425720702853739,1,0,0,0
Dillon Gabriel,QB,Oregon,0.0,94.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.553876891600541,0.10314212462587934,1,0,0,0
Shedeur Sanders,QB,Colorado,0.0,144.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.976733742420574,0.08333333333333333,1,0,0,0
Kyle McCord,QB,Syracuse,0.0,181.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.204006687076795,0.07432941462471664,1,0,0,0
Will Howard,QB,Ohio State,0.0,185.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.225746673713202,0.07352146220938077,1,0,0,0
Riley Leonard,QB,Notre Dame,0.0,189.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.247024072160486,0.07273929674533079,1,0,0,0
Graham Mertz,QB,Florida,0.0,197.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.288267030694535,0.07124704998790965,1,0,0,0
Cam Miller,QB,North Dakota State,0.0,215.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.375278407684165,0.06819943394704735,1,0,0,0
Kurtis Rourke,QB,Indiana,0.0,227.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0663723311599972,1,0,0,0
Quinn Ewers,QB,Texas,0.0,231.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.44673737166631,0.0657951694959769,1,0,0,0
