name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rec_pg,rec_yds_pg,rec_tds_pg,rush_yds_pg,rush_tds_pg,yards_per_rec,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Tetairoa McMillan,WR,Arizona,0.0,8.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.35355339059327373,0,0,1,0
Emeka Egbuka,WR,Ohio State,0.0,19.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.995732273553991,0.22941573387056174,0,0,1,0
Matthew Golden,WR,Texas,0.0,23.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.1780538303479458,0.20851441405707477,0,0,1,0
Jayden Higgins,WR,Iowa State,0.0,34.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.5553480614894135,0.17149858514250882,0,0,1,0
Luther Burden III,WR,Missouri,0.0,39.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.6888794541139363,0.16012815380508713,0,0,1,0
Tre Harris,WR,Ole Miss,0.0,55.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.02535169073515,0.13483997249264842,0,0,1,0
Jack Bech,WR,TCU,0.0,58.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.07753744390572,0.13130643285972254,0,0,1,0
Kyle Williams,WR,Washington State,0.0,69.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.248495242049359,0.1203858530857692,0,0,1,0
Isaac TeSlaa,WR,Arkansas,0.0,70.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.2626798770413155,0.11952286093343936,0,0,1,0
Pat Bryant,WR,Illinois,0.0,74.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.31748811353631,0.11624763874381928,0,0,1,0
Jaylin Noel,WR,Iowa State,0.0,79.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.382026634673881,0.1125087900926024,0,0,1,0
Savion Williams,WR,TCU,0.0,87.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.477336814478207,0.10721125348377948,0,0,1,0
Tai Felton,WR,Maryland,0.0,102.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.634728988229636,0.09901475429766744,0,0,1,0
Chimere Dike,WR,Florida,0.0,103.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.6443908991413725,0.09853292781642932,0,0,1,0
