name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rec_pg,rec_yds_pg,rec_tds_pg,rush_yds_pg,rush_tds_pg,yards_per_rec,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Dont'e Thornton,WR,Tennessee,0.0,108.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.6913478822291435,0.09622504486493763,0,0,1,0
Arian Smith,WR,Georgia,0.0,110.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.709530201312334,0.09534625892455924,0,0,1,0
Jaylin Lane,WR,Virginia Tech,0.0,128.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.859812404361672,0.08838834764831843,0,0,1,0
Jalen Royals,WR,Utah State,0.0,133.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.897839799950911,0.086710996952412,0,0,1,0
Elic Ayomanor,WR,Stanford,0.0,136.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.919980925828125,0.08574929257125441,0,0,1,0
Jordan Watkins,WR,Ole Miss,0.0,138.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.9344739331306915,0.08512565307587486,0,0,1,0
KeAndre Lambert-Smith,WR,Auburn,0.0,158.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0689042022202315,0.079555728417573,0,0,1,0
Tory Horton,WR,Colorado State,0.0,166.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.117993812416755,0.07761505257063328,0,0,1,0
LaJohntay Wester,WR,Colorado,0.0,203.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.318119993844216,0.07018624063435965,0,0,1,0
Jimmy Horn Jr.,WR,Colorado,0.0,208.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.342334251964811,0.06933752452815364,0,0,1,0
Tommy Mellott,WR,Montana State,0.0,213.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.365976015021851,0.06851887098275317,0,0,1,0
Tez Johnson,WR,Oregon,0.0,235.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.4638318050256105,0.06523280730534423,0,0,1,0
Ricky White III,WR,UNLV,0.0,238.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.476463551931511,0.06482037235521644,0,0,1,0
Kaden Prather,WR,Maryland,0.0,240.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.484796933490655,0.06454972243679027,0,0,1,0
Konata Mumpfield,WR,Pittsburgh,0.0,242.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.493061443340548,0.0642824346533225,0,0,1,0
Dominic Lovett,WR,Georgia,0.0,244.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.501258210544727,0.06401843996644799,0,0,1,0
Junior Bergen,WR,Montana,0.0,252.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.53338948872752,0.0629940788348712,0,0,1,0
