name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rec_pg,rec_yds_pg,rec_tds_pg,rush_yds_pg,rush_tds_pg,yards_per_rec,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,position_QB,position_RB,position_WR,position_TE
Colston Loveland,TE,Michigan,0.0,10.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,0.31622776601683794,0,0,0,1
Tyler Warren,TE,Penn State,0.0,14.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,0.2672612419124244,0,0,0,1
Mason Taylor,TE,LSU,0.0,42.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.7612001156935624,0.1543033499620919,0,0,0,1
Terrance Ferguson,TE,Oregon,0.0,46.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.8501476017100584,0.14744195615489714,0,0,0,1
Elijah Arroyo,TE,Miami (FL),0.0,50.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.9318256327243257,0.1414213562373095,0,0,0,1
Harold Fannin Jr.,TE,Bowling Green,0.0,67.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.219507705176107,0.12216944435630522,0,0,0,1
Gunnar Helm,TE,Texas,0.0,120.0,2024,0,SEC,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.795790545596741,0.09128709291752768,0,0,0,1
Mitchell Evans,TE,Notre Dame,0.0,163.0,2024,0,Other,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.099866427824199,0.07832604499879574,0,0,0,1
Oronde Gadsden II,TE,Syracuse,0.0,165.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.111987788356544,0.0778498944161523,0,0,0,1
Jackson Hawes,TE,Georgia Tech,0.0,173.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.159055299214529,0.07602859212697055,0,0,0,1
Gavin Bartholomew,TE,Pittsburgh,0.0,202.0,2024,0,ACC,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.313205979041787,0.07035975447302918,0,0,0,1
Thomas Fidone,TE,Nebraska,0.0,219.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.393627546352362,0.06757373783994859,0,0,0,1
Caleb Lohner,TE,Utah,0.0,241.0,2024,0,Big 12,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.488937726156687,0.06441566264008308,0,0,0,1
Moliki Matavao,TE,UCLA,0.0,248.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.517452896464707,0.06350006350009525,0,0,0,1
Luke Lachey,TE,Iowa,0.0,255.0,2024,0,Big Ten,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.545177444479562,0.06262242910851495,0,0,0,1
