name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS
Matthew Dayes,23,RB,North Carolina St.,252,2015*,8,134,865,12,24,172,0
Matthew Dayes,23,RB,North Carolina St.,252,2016*,13,249,1166,10,32,267,0
Saquon Barkley,21,RB,Penn St.,2,2015*,11,182,1076,7,20,161,1
Saquon Barkley,21,RB,Penn St.,2,2016*,14,272,1496,18,28,402,4
Saquon Barkley,21,RB,Penn St.,2,2017*,13,217,1271,18,54,632,3
Rashaad Penny,22,RB,San Diego St.,27,2014*,13,2,22,0,0,0,0
Rashaad Penny,22,RB,San Diego St.,27,2015*,14,61,368,4,8,120,1
Rashaad Penny,22,RB,San Diego St.,27,2016*,14,136,1018,11,15,224,3
Rashaad Penny,22,RB,San Diego St.,27,2017*,13,289,2248,23,19,135,2
Sony Michel,23,RB,Georgia,31,2014*,8,64,410,5,7,106,1
Sony Michel,23,RB,Georgia,31,2015*,13,219,1161,8,26,270,3
Sony Michel,23,RB,Georgia,31,2016*,12,152,840,4,22,149,1
Sony Michel,23,RB,Georgia,31,2017*,14,156,1227,16,9,96,1
Nick Chubb,22,RB,Georgia,35,2014*,13,219,1547,14,18,213,2
Nick Chubb,22,RB,Georgia,35,2015*,6,92,747,7,4,32,1
Nick Chubb,22,RB,Georgia,35,2016*,13,224,1130,8,5,86,1
Nick Chubb,22,RB,Georgia,35,2017*,15,223,1345,15,4,30,0
Ronald Jones II,21,RB,USC,38,2015*,14,153,987,8,7,39,1
Ronald Jones II,21,RB,USC,38,2016*,13,177,1082,12,11,76,1
Ronald Jones II,21,RB,USC,38,2017*,13,261,1550,19,14,187,1
Kerryon Johnson,21,RB,Auburn,43,2015*,13,52,208,3,14,159,0
Kerryon Johnson,21,RB,Auburn,43,2016*,12,182,895,11,17,125,0
Kerryon Johnson,21,RB,Auburn,43,2017*,12,285,1391,18,24,194,2
Derrius Guice,21,RB,LSU,59,2015*,12,51,436,3,5,20,0
Derrius Guice,21,RB,LSU,59,2016*,12,183,1387,15,9,106,1
Derrius Guice,21,RB,LSU,59,2017*,12,237,1251,11,18,124,2
Royce Freeman,22,RB,Oregon,71,2014*,15,252,1365,18,16,158,1
Royce Freeman,22,RB,Oregon,71,2015*,13,283,1836,17,26,348,2
Royce Freeman,22,RB,Oregon,71,2016,11,168,945,9,23,144,1
Royce Freeman,22,RB,Oregon,71,2017*,12,244,1475,16,14,164,0
Nyheim Hines,21,RB,North Carolina St.,104,2015*,13,48,243,1,20,256,1
Nyheim Hines,21,RB,North Carolina St.,104,2016*,12,13,44,0,43,525,0
Nyheim Hines,21,RB,North Carolina St.,104,2017*,13,197,1112,12,26,152,0
Mark Walton,21,RB,Miami (FL),112,2015*,13,129,450,9,22,293,1
Mark Walton,21,RB,Miami (FL),112,2016*,13,209,1117,14,27,240,1
Mark Walton,21,RB,Miami (FL),112,2017*,5,56,428,3,7,91,0
Ito Smith,22,RB,Southern Miss,126,2014,12,136,536,2,8,76,0
Ito Smith,22,RB,Southern Miss,126,2015*,14,171,1128,10,49,515,3
Ito Smith,22,RB,Southern Miss,126,2016*,13,265,1459,17,43,459,2
Ito Smith,22,RB,Southern Miss,126,2017*,13,248,1413,13,40,396,2
Kalen Ballage,22,RB,Arizona St.,131,2014*,12,42,126,3,6,64,1
Kalen Ballage,22,RB,Arizona St.,131,2015*,10,125,653,4,12,60,0
Kalen Ballage,22,RB,Arizona St.,131,2016,12,126,536,14,44,469,1
Kalen Ballage,22,RB,Arizona St.,131,2017*,13,157,669,6,20,91,0
Chase Edmonds,22,RB,Fordham,134,2014*,12,0,0,0,2,33,0
Chase Edmonds,22,RB,Fordham,134,2015,12,0,0,0,29,350,3
Chase Edmonds,22,RB,Fordham,134,2016,12,0,0,1,62,1012,8
Chase Edmonds,22,RB,Fordham,134,2017*,13,0,0,0,65,1082,10
Jordan Wilkins,24,RB,Mississippi,169,2014*,13,52,361,1,1,6,0
Jordan Wilkins,24,RB,Mississippi,169,2015*,13,72,379,4,5,75,0
