name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Evan Spencer,22,WR,Ohio St.,187,2013*,10,22,216,3,0,0,0
Evan Spencer,22,WR,Ohio St.,187,2014*,15,15,149,3,1,9,0
Darren Waller,22,WR,Georgia Tech,204,2012*,6,2,18,0,0,0,0
Darren Waller,22,WR,Georgia Tech,204,2013*,6,2,18,0,0,0,0
Darren Waller,22,WR,Georgia Tech,204,2014*,6,2,18,0,0,0,0
Da'Ron Brown,23,WR,Northern Illinois,233,2011*,14,24,322,2,1,3,0
Da'Ron Brown,23,WR,Northern Illinois,233,2012*,14,17,156,2,4,4,1
Da'Ron Brown,23,WR,Northern Illinois,233,2013*,12,46,752,9,7,45,0
Da'Ron Brown,23,WR,Northern Illinois,233,2014*,14,0,0,0,0,0,0
Mario Alford,23,WR,West Virginia,238,2013,1,1,15,0,5,47,0
Mario Alford,23,WR,West Virginia,238,2014*,1,1,15,0,2,14,0
Corey Coleman,22,WR,Baylor,15,2013*,10,33,413,3,0,0,0
Corey Coleman,22,WR,Baylor,15,2014*,10,33,413,3,11,53,1
Corey Coleman,22,WR,Baylor,15,2015*,10,33,413,3,22,111,0
Will Fuller,22,WR,Notre Dame,21,2013*,14,47,635,2,2,8,0
Will Fuller,22,WR,Notre Dame,21,2014*,14,47,635,2,0,0,0
Will Fuller,22,WR,Notre Dame,21,2015*,14,47,635,2,0,0,0
Josh Doctson,23,WR,TCU,22,2011*,2,2,66,0,0,0,0
Josh Doctson,23,WR,TCU,22,2013,2,2,66,0,0,0,0
Josh Doctson,23,WR,TCU,22,2014*,2,2,66,0,0,0,0
Josh Doctson,23,WR,TCU,22,2015*,2,2,66,0,1,6,0
Laquon Treadwell,21,WR,Mississippi,23,2013*,9,1,15,0,3,2,0
Laquon Treadwell,21,WR,Mississippi,23,2014*,9,1,15,0,2,-7,0
Laquon Treadwell,21,WR,Mississippi,23,2015*,9,1,15,0,1,-5,0
Sterling Shepard,23,WR,Oklahoma,40,2012*,16,65,683,8,2,19,0
Sterling Shepard,23,WR,Oklahoma,40,2013*,16,65,683,8,6,44,1
Sterling Shepard,23,WR,Oklahoma,40,2014*,16,65,683,8,8,41,0
Sterling Shepard,23,WR,Oklahoma,40,2015*,16,65,683,8,1,5,0
Michael Thomas,23,WR,Ohio St.,47,2012,15,92,1137,9,0,0,0
Michael Thomas,23,WR,Ohio St.,47,2014*,15,92,1137,9,0,0,0
Michael Thomas,23,WR,Ohio St.,47,2015*,15,92,1137,9,0,0,0
Tyler Boyd,21,WR,Pittsburgh,55,2013*,16,54,603,1,11,108,1
Tyler Boyd,21,WR,Pittsburgh,55,2014*,16,54,603,1,12,63,0
Tyler Boyd,21,WR,Pittsburgh,55,2015*,16,54,603,1,40,349,0
Leonte Carroo,22,WR,Rutgers,86,2012*,14,3,29,1,0,0,0
Leonte Carroo,22,WR,Rutgers,86,2013*,14,3,29,1,0,0,0
Leonte Carroo,22,WR,Rutgers,86,2014*,14,3,29,1,0,0,0
Leonte Carroo,22,WR,Rutgers,86,2015,14,3,29,1,0,0,0
Chris Moore,23,WR,Cincinnati,107,2012*,15,7,46,0,0,0,0
Chris Moore,23,WR,Cincinnati,107,2013*,15,7,46,0,2,16,0
Chris Moore,23,WR,Cincinnati,107,2014*,15,7,46,0,0,0,0
Chris Moore,23,WR,Cincinnati,107,2015*,15,7,46,0,2,10,0
