name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs
Bo Nix,24,QB,Oregon,12,2022,13,294,409,71.9,3593,29,7.1,7,1.7,165.7,89,510,14.0
Bo Nix,24,QB,Oregon,12,2023,14,364,470,77.4,4508,45,9.6,3,0.6,188.3,54,234,6.0
Spencer Rattler,23,QB,South Carolina,150,2019,3,7,11,63.6,81,1,9.1,0,0.0,155.5,3,23,0.0
Spencer Rattler,23,QB,South Carolina,150,2020,11,214,317,67.5,3031,28,8.8,7,2.2,172.6,81,160,6.0
Spencer Rattler,23,QB,South Carolina,150,2021,9,140,187,74.9,1483,11,5.9,5,2.7,155.5,43,77,3.0
Spencer Rattler,23,QB,South Carolina,150,2022,13,264,399,66.2,3026,18,4.5,12,3.0,138.7,73,46,3.0
Spencer Rattler,23,QB,South Carolina,150,2023,12,275,399,68.9,3186,19,4.8,8,2.0,147.7,97,104,4.0
Jordan Travis,24,QB,Florida St.,171,2018,3,4,14,28.6,71,1,7.1,1,7.1,80.5,8,40,0.0
Jordan Travis,24,QB,Florida St.,171,2019,4,6,11,54.5,79,0,0.0,0,0.0,114.9,23,228,3.0
Jordan Travis,24,QB,Florida St.,171,2020,8,72,131,55.0,1056,6,4.6,6,4.6,128.6,97,559,7.0
Jordan Travis,24,QB,Florida St.,171,2021,10,122,194,62.9,1539,15,7.7,6,3.1,148.9,134,530,7.0
Jordan Travis,24,QB,Florida St.,171,2022,13,226,353,64.0,3214,24,6.8,5,1.4,160.1,82,417,7.0
Jordan Travis,24,QB,Florida St.,171,2023,11,207,324,63.9,2756,20,6.2,2,0.6,154.5,73,176,7.0
Joe Milton,24,QB,Tennessee,193,2018,4,3,4,75.0,58,0,0.0,1,25.0,146.8,7,31,1.0
Joe Milton,24,QB,Tennessee,193,2019,4,3,7,42.9,59,1,14.3,1,14.3,132.2,5,16,1.0
Joe Milton,24,QB,Tennessee,193,2020,6,80,141,56.7,1077,4,2.8,4,2.8,124.6,38,109,1.0
Joe Milton,24,QB,Tennessee,193,2021,8,32,61,52.5,375,2,3.3,0,0.0,114.9,28,129,2.0
Joe Milton,24,QB,Tennessee,193,2022,9,53,82,64.6,971,10,12.2,0,0.0,204.3,18,77,0.0
Joe Milton,24,QB,Tennessee,193,2023,12,229,354,64.7,2813,20,5.6,5,1.4,147.3,78,299,7.0
Devin Leary,24,QB,Kentucky,218,2019,8,101,210,48.1,1219,8,3.8,5,2.4,104.7,40,46,0.0
Devin Leary,24,QB,Kentucky,218,2020,4,66,110,60.0,890,8,7.3,2,1.8,148.3,19,7,0.0
Devin Leary,24,QB,Kentucky,218,2021,12,283,431,65.7,3433,35,8.1,5,1.2,157.0,54,-75,2.0
Devin Leary,24,QB,Kentucky,218,2022,6,118,193,61.1,1265,11,5.7,4,2.1,130.9,23,1,3.0
Devin Leary,24,QB,Kentucky,218,2023,13,209,371,56.3,2746,25,6.7,12,3.2,134.3,42,-60,1.0
Michael Pratt,22,QB,Tulane,245,2020,10,140,254,55.1,1806,20,7.9,8,3.1,134.5,115,229,8.0
Michael Pratt,22,QB,Tulane,245,2021,12,189,328,57.6,2381,21,6.4,8,2.4,134.8,105,152,5.0
Michael Pratt,22,QB,Tulane,245,2022,13,215,338,63.6,3009,27,8.0,5,1.5,161.8,129,478,10.0
Michael Pratt,22,QB,Tulane,245,2023,11,185,283,65.4,2406,22,7.8,5,1.8,158.9,98,286,5.0
