name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Cody Kessler,23,QB,USC,93,2013,9,236,361,361.0,2968,20,5.5,7,1.9,148.8,42,-124,1.0,65.6,1380.0,6.0,2.0,18.0,0.0
Cody Kessler,23,QB,USC,93,2014,9,315,452,452.0,3826,39,8.6,5,1.1,167.1,55,-152,2.0,65.6,1380.0,6.0,2.0,18.0,0.0
Cody Kessler,23,QB,USC,93,2015,9,298,446,446.0,3536,29,6.5,7,1.6,151.7,61,-149,4.0,65.6,1380.0,6.0,2.0,18.0,0.0
Connor Cook,23,QB,Michigan St.,100,2012,3,9,17,17.0,94,1,5.9,1,5.9,107.0,4,-3,0.0,,,,,,
Connor Cook,23,QB,Michigan St.,100,2013,14,223,380,380.0,2755,22,5.8,6,1.6,135.5,69,76,1.0,,,,,,
Connor Cook,23,QB,Michigan St.,100,2014,13,212,365,365.0,3214,24,6.6,8,2.2,149.4,51,80,2.0,,,,,,
Connor Cook,23,QB,Michigan St.,100,2015,13,229,408,408.0,3131,24,5.9,7,1.7,136.6,52,56,0.0,,,,,,
Dak Prescott,23,QB,Mississippi St.,135,2012,16,18,29,29.0,194,4,13.8,0,0.0,163.8,32,118,4.0,67.8,3667.0,23.0,4.0,282.0,6.0
Dak Prescott,23,QB,Mississippi St.,135,2013,16,156,267,267.0,1940,10,3.7,7,2.6,126.6,134,829,13.0,67.8,3667.0,23.0,4.0,282.0,6.0
Dak Prescott,23,QB,Mississippi St.,135,2014,16,244,396,396.0,3449,27,6.8,11,2.8,151.7,210,986,14.0,67.8,3667.0,23.0,4.0,282.0,6.0
Dak Prescott,23,QB,Mississippi St.,135,2015,16,316,477,477.0,3793,29,6.1,5,1.0,151.0,160,588,10.0,67.8,3667.0,23.0,4.0,282.0,6.0
Cardale Jones,23,QB,Ohio St.,139,2013,1,1,2,2.0,3,0,0.0,0,0.0,62.6,17,128,1.0,54.5,96.0,0.0,1.0,-1.0,0.0
