name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Ryan Finley,24,QB,North Carolina St.,104,2014,3,12,27,27.0,161,2,7.4,1,3.7,111.6,7,31,0.0,47.1,474.0,2.0,2.0,77.0,0.0
Ryan Finley,24,QB,North Carolina St.,104,2015,3,46,70,70.0,485,1,1.4,4,5.7,117.2,22,42,0.0,47.1,474.0,2.0,2.0,77.0,0.0
Ryan Finley,24,QB,North Carolina St.,104,2016,3,243,402,402.0,3055,18,4.5,8,2.0,135.1,74,94,1.0,47.1,474.0,2.0,2.0,77.0,0.0
Ryan Finley,24,QB,North Carolina St.,104,2017,3,312,479,479.0,3518,17,3.5,6,1.3,136.0,69,194,3.0,47.1,474.0,2.0,2.0,77.0,0.0
Ryan Finley,24,QB,North Carolina St.,104,2018,3,326,484,484.0,3928,25,5.2,11,2.3,148.0,42,21,1.0,47.1,474.0,2.0,2.0,77.0,0.0
Jarrett Stidham,23,QB,Auburn,133,2015,3,75,109,109.0,1265,12,11.0,2,1.8,199.0,36,70,2.0,50.0,14.0,0.0,1.0,-2.0,0.0
Jarrett Stidham,23,QB,Auburn,133,2017,3,246,370,370.0,3158,18,4.9,6,1.6,151.0,103,153,4.0,50.0,14.0,0.0,1.0,-2.0,0.0
Jarrett Stidham,23,QB,Auburn,133,2018,3,224,369,369.0,2794,18,4.9,5,1.4,137.7,72,1,3.0,50.0,14.0,0.0,1.0,-2.0,0.0
Clayton Thorson,24,QB,Northwestern,167,2015,13,150,295,295.0,1522,7,2.4,9,3.1,95.9,100,397,5.0,,,,,,
Clayton Thorson,24,QB,Northwestern,167,2016,13,280,478,478.0,3182,22,4.6,9,1.9,125.9,97,98,5.0,,,,,,
Clayton Thorson,24,QB,Northwestern,167,2017,13,262,434,434.0,2844,15,3.5,12,2.8,121.3,87,23,8.0,,,,,,
Clayton Thorson,24,QB,Northwestern,167,2018,14,299,489,489.0,3183,17,3.5,15,3.1,121.2,78,-110,9.0,,,,,,
Gardner Minshew II,23,QB,Washington St.,178,2016,14,119,202,202.0,1347,8,4.0,4,2.0,124.0,20,-36,0.0,60.6,3271.0,21.0,6.0,344.0,0.0
Gardner Minshew II,23,QB,Washington St.,178,2017,14,174,304,304.0,2140,16,5.3,7,2.3,129.1,18,-40,0.0,60.6,3271.0,21.0,6.0,344.0,0.0
Gardner Minshew II,23,QB,Washington St.,178,2018,14,468,662,662.0,4779,38,5.7,9,1.4,147.6,58,119,4.0,60.6,3271.0,21.0,6.0,344.0,0.0
Trace McSorley,24,QB,Penn St.,197,2015,7,20,40,40.0,185,2,5.0,0,0.0,105.4,13,43,0.0,,,,,,
Trace McSorley,24,QB,Penn St.,197,2016,14,224,387,387.0,3614,29,7.5,8,2.1,156.9,146,365,7.0,,,,,,
Trace McSorley,24,QB,Penn St.,197,2017,13,284,427,427.0,3570,28,6.6,10,2.3,153.7,144,491,11.0,,,,,,
Trace McSorley,24,QB,Penn St.,197,2018,13,192,361,361.0,2530,18,5.0,7,1.9,124.6,170,798,12.0,,,,,,
Joe Burrow,23,QB,LSU,1,2016,10,22,28,28.0,226,2,7.1,0,0.0,169.9,12,58,1.0,65.3,2688.0,13.0,5.0,142.0,3.0
Joe Burrow,23,QB,LSU,1,2017,10,7,11,11.0,61,0,0.0,0,0.0,110.2,3,-5,0.0,65.3,2688.0,13.0,5.0,142.0,3.0
Joe Burrow,23,QB,LSU,1,2018,10,219,379,379.0,2894,16,4.2,5,1.3,133.2,128,399,7.0,65.3,2688.0,13.0,5.0,142.0,3.0
Joe Burrow,23,QB,LSU,1,2019,10,402,527,527.0,5671,60,11.4,6,1.1,202.0,115,368,5.0,65.3,2688.0,13.0,5.0,142.0,3.0
Tua Tagovailoa,22,QB,Alabama,5,2017,10,49,77,77.0,636,11,14.3,2,2.6,175.0,27,133,2.0,64.1,1814.0,11.0,5.0,109.0,3.0
Tua Tagovailoa,22,QB,Alabama,5,2018,10,245,355,355.0,3966,43,12.1,6,1.7,199.4,57,190,5.0,64.1,1814.0,11.0,5.0,109.0,3.0
Tua Tagovailoa,22,QB,Alabama,5,2019,10,180,252,252.0,2840,33,13.1,3,1.2,206.9,23,17,2.0,64.1,1814.0,11.0,5.0,109.0,3.0
Justin Herbert,22,QB,Oregon,6,2016,15,162,255,255.0,1936,19,7.5,4,1.6,148.8,58,161,2.0,66.6,4336.0,31.0,10.0,234.0,5.0
Justin Herbert,22,QB,Oregon,6,2017,15,139,206,206.0,1983,15,7.3,5,2.4,167.5,44,183,5.0,66.6,4336.0,31.0,10.0,234.0,5.0
Justin Herbert,22,QB,Oregon,6,2018,15,240,404,404.0,3151,29,7.2,8,2.0,144.6,71,166,2.0,66.6,4336.0,31.0,10.0,234.0,5.0
Justin Herbert,22,QB,Oregon,6,2019,15,286,428,428.0,3471,32,7.5,6,1.4,156.8,58,50,4.0,66.6,4336.0,31.0,10.0,234.0,5.0
Jordan Love,21,QB,Utah St.,26,2017,6,129,235,235.0,1631,8,3.4,6,2.6,119.3,46,165,2.0,58.1,411.0,2.0,3.0,27.0,0.0
Jordan Love,21,QB,Utah St.,26,2018,6,267,417,417.0,3567,32,7.7,6,1.4,158.3,43,63,7.0,58.1,411.0,2.0,3.0,27.0,0.0
Jordan Love,21,QB,Utah St.,26,2019,6,293,473,473.0,3402,20,4.2,17,3.6,129.1,81,175,0.0,58.1,411.0,2.0,3.0,27.0,0.0
Jalen Hurts,22,QB,Oklahoma,53,2016,15,240,382,382.0,2780,23,6.0,9,2.4,139.1,191,954,13.0,52.0,1061.0,6.0,4.0,354.0,3.0
Jalen Hurts,22,QB,Oklahoma,53,2017,15,154,254,254.0,2081,17,6.7,1,0.4,150.7,154,855,8.0,52.0,1061.0,6.0,4.0,354.0,3.0
Jalen Hurts,22,QB,Oklahoma,53,2018,15,51,70,70.0,765,8,11.4,2,2.9,196.7,36,167,2.0,52.0,1061.0,6.0,4.0,354.0,3.0
Jalen Hurts,22,QB,Oklahoma,53,2019,15,237,340,340.0,3851,32,9.4,8,2.4,191.2,233,1298,20.0,52.0,1061.0,6.0,4.0,354.0,3.0
Jacob Eason,22,QB,Washington,122,2016,13,204,370,370.0,2430,16,4.3,8,2.2,120.2,33,-45,1.0,,,,,,
Jacob Eason,22,QB,Washington,122,2017,5,4,7,7.0,28,0,0.0,0,0.0,90.7,3,-12,0.0,,,,,,
Jacob Eason,22,QB,Washington,122,2019,13,260,405,405.0,3132,23,5.7,8,2.0,143.9,46,-69,1.0,,,,,,
Jake Fromm,22,QB,Georgia,167,2017,3,181,291,291.0,2615,24,8.2,7,2.4,160.1,55,79,3.0,45.0,210.0,1.0,3.0,65.0,0.0
Jake Fromm,22,QB,Georgia,167,2018,3,206,306,306.0,2749,30,9.8,6,2.0,171.2,41,-27,0.0,45.0,210.0,1.0,3.0,65.0,0.0
Jake Fromm,22,QB,Georgia,167,2019,3,234,385,385.0,2860,24,6.2,5,1.3,141.2,38,-12,0.0,45.0,210.0,1.0,3.0,65.0,0.0
Cole McDonald,22,QB,Hawaii,224,2017,6,5,9,9.0,22,1,11.1,0,0.0,112.8,16,138,1.0,,,,,,
Cole McDonald,22,QB,Hawaii,224,2018,13,285,484,484.0,3875,36,7.4,10,2.1,146.5,134,359,4.0,,,,,,
Cole McDonald,22,QB,Hawaii,224,2019,14,326,511,511.0,4135,33,6.5,14,2.7,147.6,101,383,7.0,,,,,,
Ben DiNucci,23,QB,James Madison,231,2016,3,3,9,9.0,16,1,11.1,2,22.2,40.5,2,18,0.0,53.5,219.0,0.0,0.0,22.0,0.0
Ben DiNucci,23,QB,James Madison,231,2017,3,88,158,158.0,1091,5,3.2,5,3.2,117.8,55,126,1.0,53.5,219.0,0.0,0.0,22.0,0.0
Tommy Stevens,23,QB,Mississippi St.,240,2016,7,2,3,3.0,36,0,0.0,0,0.0,167.5,21,198,2.0,,,,,,
Tommy Stevens,23,QB,Mississippi St.,240,2017,9,14,27,27.0,158,3,11.1,0,0.0,137.7,27,190,4.0,,,,,,
Tommy Stevens,23,QB,Mississippi St.,240,2018,7,8,11,11.0,110,1,9.1,1,9.1,168.5,28,118,2.0,,,,,,
Tommy Stevens,23,QB,Mississippi St.,240,2019,9,97,161,161.0,1155,11,6.8,5,3.1,136.8,83,381,4.0,,,,,,
Nate Stanley,23,QB,Iowa,244,2016,6,5,9,9.0,62,0,0.0,0,0.0,113.4,0,0,0.0,,,,,,
Nate Stanley,23,QB,Iowa,244,2017,13,196,351,351.0,2437,26,7.4,6,1.7,135.2,49,-115,0.0,,,,,,
Nate Stanley,23,QB,Iowa,244,2018,13,235,396,396.0,2852,26,6.6,10,2.5,136.5,36,4,1.0,,,,,,
Nate Stanley,23,QB,Iowa,244,2019,13,237,399,399.0,2951,16,4.0,7,1.8,131.2,76,7,1.0,,,,,,
Trevor Lawrence,21,QB,Clemson,1,2018,17,259,397,397.0,3280,30,7.6,4,1.0,157.6,60,177,1.0,59.6,3641.0,12.0,17.0,334.0,2.0
Trevor Lawrence,21,QB,Clemson,1,2019,17,268,407,407.0,3665,36,8.8,8,2.0,166.7,103,563,9.0,59.6,3641.0,12.0,17.0,334.0,2.0
Trevor Lawrence,21,QB,Clemson,1,2020,17,231,334,334.0,3153,24,7.2,5,1.5,169.2,68,203,8.0,59.6,3641.0,12.0,17.0,334.0,2.0
Zach Wilson,22,QB,BYU,2,2018,13,120,182,182.0,1578,12,6.6,3,1.6,157.2,75,221,2.0,55.6,2334.0,9.0,11.0,185.0,4.0
Zach Wilson,22,QB,BYU,2,2019,13,199,319,319.0,2382,11,3.4,9,2.8,130.8,67,167,3.0,55.6,2334.0,9.0,11.0,185.0,4.0
Zach Wilson,22,QB,BYU,2,2020,13,247,336,336.0,3692,33,9.8,3,0.9,196.4,70,254,10.0,55.6,2334.0,9.0,11.0,185.0,4.0
Justin Fields,22,QB,Ohio St.,11,2018,12,27,39,39.0,328,4,10.3,0,0.0,173.7,42,266,4.0,58.9,1870.0,7.0,10.0,420.0,2.0
Justin Fields,22,QB,Ohio St.,11,2019,12,238,354,354.0,3273,41,11.6,3,0.8,181.4,137,484,10.0,58.9,1870.0,7.0,10.0,420.0,2.0
Justin Fields,22,QB,Ohio St.,11,2020,12,158,225,225.0,2100,22,9.8,6,2.7,175.6,81,383,5.0,58.9,1870.0,7.0,10.0,420.0,2.0
Mac Jones,23,QB,Alabama,15,2018,17,5,13,13.0,123,1,7.7,0,0.0,143.3,3,-8,0.0,67.6,3801.0,22.0,13.0,129.0,0.0
Mac Jones,23,QB,Alabama,15,2019,17,97,141,141.0,1503,14,9.9,3,2.1,186.8,16,36,1.0,67.6,3801.0,22.0,13.0,129.0,0.0
Mac Jones,23,QB,Alabama,15,2020,17,311,402,402.0,4500,41,10.2,4,1.0,203.1,35,14,1.0,67.6,3801.0,22.0,13.0,129.0,0.0
Kellen Mond,22,QB,Texas A&M,66,2017,11,117,227,227.0,1375,8,3.5,6,2.6,108.8,89,340,3.0,,,,,,
Kellen Mond,22,QB,Texas A&M,66,2018,13,238,415,415.0,3107,24,5.8,9,2.2,135.0,149,474,7.0,,,,,,
Kellen Mond,22,QB,Texas A&M,66,2019,13,258,419,419.0,2897,20,4.8,9,2.1,131.1,126,500,8.0,,,,,,
Kellen Mond,22,QB,Texas A&M,66,2020,10,188,297,297.0,2282,19,6.4,3,1.0,146.9,74,294,4.0,,,,,,
Davis Mills,22,QB,Stanford,67,2018,13,0,2,2.0,0,0,0.0,0,0.0,0.0,1,5,0.0,66.8,2664.0,16.0,10.0,44.0,0.0
Davis Mills,22,QB,Stanford,67,2019,13,158,241,241.0,1960,11,4.6,5,2.1,144.8,32,44,0.0,66.8,2664.0,16.0,10.0,44.0,0.0
Davis Mills,22,QB,Stanford,67,2020,13,129,195,195.0,1508,7,3.6,3,1.5,139.9,30,37,3.0,66.8,2664.0,16.0,10.0,44.0,0.0
Sam Ehlinger,22,QB,Texas,218,2017,9,158,275,275.0,1915,11,4.0,7,2.5,124.1,114,385,2.0,,,,,,
Sam Ehlinger,22,QB,Texas,218,2018,14,275,425,425.0,3292,25,5.9,5,1.2,146.8,164,482,16.0,,,,,,
Sam Ehlinger,22,QB,Texas,218,2019,13,296,454,454.0,3663,32,7.0,10,2.2,151.8,163,663,7.0,,,,,,
Sam Ehlinger,22,QB,Texas,218,2020,10,194,322,322.0,2566,26,8.1,5,1.6,150.7,113,377,8.0,,,,,,
Kenny Pickett,24,QB,Pittsburgh,20,2017,13,39,66,66.0,509,1,1.5,1,1.5,125.8,26,93,2.0,63.0,2404.0,7.0,9.0,237.0,3.0
Kenny Pickett,24,QB,Pittsburgh,20,2018,13,180,310,310.0,1969,12,3.9,6,1.9,120.3,117,220,3.0,63.0,2404.0,7.0,9.0,237.0,3.0
Kenny Pickett,24,QB,Pittsburgh,20,2019,13,289,469,469.0,3098,13,2.8,9,1.9,122.4,95,110,2.0,63.0,2404.0,7.0,9.0,237.0,3.0
Kenny Pickett,24,QB,Pittsburgh,20,2020,13,203,332,332.0,2408,13,3.9,9,2.7,129.6,81,145,8.0,63.0,2404.0,7.0,9.0,237.0,3.0
Kenny Pickett,24,QB,Pittsburgh,20,2021,13,334,497,497.0,4319,42,8.5,7,1.4,165.3,97,241,5.0,63.0,2404.0,7.0,9.0,237.0,3.0
Desmond Ridder,23,QB,Cincinnati,74,2018,4,194,311,311.0,2445,20,6.4,5,1.6,146.4,150,572,5.0,63.5,708.0,2.0,0.0,64.0,0.0
Desmond Ridder,23,QB,Cincinnati,74,2019,4,179,325,325.0,2164,18,5.5,9,2.8,123.7,144,650,5.0,63.5,708.0,2.0,0.0,64.0,0.0
Desmond Ridder,23,QB,Cincinnati,74,2020,4,186,281,281.0,2296,19,6.8,6,2.1,152.9,98,592,12.0,63.5,708.0,2.0,0.0,64.0,0.0
Desmond Ridder,23,QB,Cincinnati,74,2021,4,251,387,387.0,3334,30,7.8,8,2.1,158.7,110,365,6.0,63.5,708.0,2.0,0.0,64.0,0.0
Malik Willis,23,QB,Liberty,86,2017,8,6,7,7.0,45,1,14.3,0,0.0,186.9,16,221,1.0,50.8,276.0,0.0,3.0,123.0,1.0
Malik Willis,23,QB,Liberty,86,2018,8,5,7,7.0,24,0,0.0,0,0.0,100.2,12,88,1.0,50.8,276.0,0.0,3.0,123.0,1.0
Malik Willis,23,QB,Liberty,86,2020,8,170,265,265.0,2260,20,7.5,6,2.3,156.2,141,944,14.0,50.8,276.0,0.0,3.0,123.0,1.0
Malik Willis,23,QB,Liberty,86,2021,8,207,339,339.0,2862,27,8.0,12,3.5,151.2,197,878,13.0,50.8,276.0,0.0,3.0,123.0,1.0
Matt Corral,23,QB,Mississippi,94,2018,4,16,22,22.0,239,2,9.1,1,4.5,184.9,13,83,2.0,,,,,,
Matt Corral,23,QB,Mississippi,94,2019,10,105,178,178.0,1362,6,3.4,3,1.7,131.0,57,135,1.0,,,,,,
Matt Corral,23,QB,Mississippi,94,2020,10,231,326,326.0,3337,29,8.9,14,4.3,177.6,112,506,4.0,,,,,,
Matt Corral,23,QB,Mississippi,94,2021,13,262,386,386.0,3349,20,5.2,5,1.3,155.3,152,614,11.0,,,,,,
Bailey Zappe,23,QB,Western Kentucky,137,2021,4,475,687,687.0,5967,62,9.0,11,1.6,168.7,51,17,3.0,70.7,781.0,5.0,3.0,0.0,0.0
Sam Howell,21,QB,North Carolina,144,2019,1,259,422,422.0,3641,38,9.0,7,1.7,160.2,94,35,1.0,57.9,169.0,1.0,1.0,35.0,1.0
Sam Howell,21,QB,North Carolina,144,2020,1,237,348,348.0,3586,30,8.6,7,2.0,179.1,92,146,5.0,57.9,169.0,1.0,1.0,35.0,1.0
Sam Howell,21,QB,North Carolina,144,2021,1,217,347,347.0,3056,24,6.9,9,2.6,154.2,183,828,11.0,57.9,169.0,1.0,1.0,35.0,1.0
Skylar Thompson,25,QB,Kansas St.,247,2017,7,51,83,83.0,689,5,6.0,3,3.6,143.8,69,267,3.0,57.1,534.0,1.0,3.0,21.0,0.0
Skylar Thompson,25,QB,Kansas St.,247,2018,7,122,208,208.0,1391,9,4.3,4,1.9,125.3,105,373,5.0,57.1,534.0,1.0,3.0,21.0,0.0
Skylar Thompson,25,QB,Kansas St.,247,2019,7,177,297,297.0,2315,12,4.0,5,1.7,135.0,114,405,11.0,57.1,534.0,1.0,3.0,21.0,0.0
Skylar Thompson,25,QB,Kansas St.,247,2020,7,40,64,64.0,626,4,6.3,0,0.0,165.3,19,38,3.0,57.1,534.0,1.0,3.0,21.0,0.0
Skylar Thompson,25,QB,Kansas St.,247,2021,7,162,233,233.0,2113,12,5.2,4,1.7,159.3,48,4,4.0,57.1,534.0,1.0,3.0,21.0,0.0
Brock Purdy,22,QB,Iowa St.,262,2018,9,146,220,220.0,2250,16,7.3,7,3.2,169.9,100,308,5.0,67.1,1374.0,13.0,4.0,13.0,1.0
Brock Purdy,22,QB,Iowa St.,262,2019,9,312,475,475.0,3982,27,5.7,9,1.9,151.1,93,249,8.0,67.1,1374.0,13.0,4.0,13.0,1.0
Brock Purdy,22,QB,Iowa St.,262,2020,9,243,365,365.0,2750,19,5.2,9,2.5,142.1,87,382,5.0,67.1,1374.0,13.0,4.0,13.0,1.0
Brock Purdy,22,QB,Iowa St.,262,2021,9,292,407,407.0,3188,19,4.7,8,2.0,149.0,85,238,1.0,67.1,1374.0,13.0,4.0,13.0,1.0
Bryce Young,22,QB,Alabama,1,2020,16,13,22,22.0,156,1,4.5,0,0.0,133.7,9,-23,0.0,59.8,2877.0,11.0,10.0,253.0,0.0
Bryce Young,22,QB,Alabama,1,2021,16,366,547,547.0,4872,47,8.6,7,1.3,167.5,81,0,3.0,59.8,2877.0,11.0,10.0,253.0,0.0
Bryce Young,22,QB,Alabama,1,2022,16,245,380,380.0,3328,32,8.4,5,1.3,163.2,49,185,4.0,59.8,2877.0,11.0,10.0,253.0,0.0
Anthony Richardson,21,QB,Florida,4,2020,4,1,2,2.0,27,1,50.0,1,50.0,228.4,7,61,0.0,59.5,577.0,3.0,1.0,136.0,4.0
Anthony Richardson,21,QB,Florida,4,2021,4,38,64,64.0,529,6,9.4,5,7.8,144.1,51,401,3.0,59.5,577.0,3.0,1.0,136.0,4.0
Anthony Richardson,21,QB,Florida,4,2022,4,176,327,327.0,2549,17,5.2,9,2.8,131.0,103,654,9.0,59.5,577.0,3.0,1.0,136.0,4.0
Will Levis,24,QB,Kentucky,33,2019,9,28,47,47.0,223,2,4.3,2,4.3,105.0,51,213,3.0,58.4,1808.0,8.0,4.0,57.0,1.0
Will Levis,24,QB,Kentucky,33,2020,9,33,55,55.0,421,1,1.8,0,0.0,130.3,82,260,3.0,58.4,1808.0,8.0,4.0,57.0,1.0
Will Levis,24,QB,Kentucky,33,2021,9,233,353,353.0,2827,24,6.8,13,3.7,148.3,107,376,9.0,58.4,1808.0,8.0,4.0,57.0,1.0
Will Levis,24,QB,Kentucky,33,2022,9,185,283,283.0,2406,19,6.7,10,3.5,151.9,72,-107,2.0,58.4,1808.0,8.0,4.0,57.0,1.0
Jake Haener,24,QB,Fresno St.,127,2018,8,9,13,13.0,107,1,7.7,1,7.7,148.4,1,-9,0.0,46.2,226.0,1.0,1.0,22.0,0.0
Jake Haener,24,QB,Fresno St.,127,2020,8,150,232,232.0,2021,14,6.0,5,2.2,153.4,57,18,3.0,46.2,226.0,1.0,1.0,22.0,0.0
Jake Haener,24,QB,Fresno St.,127,2021,8,329,490,490.0,4096,33,6.7,9,1.8,155.9,71,18,3.0,46.2,226.0,1.0,1.0,22.0,0.0
Jake Haener,24,QB,Fresno St.,127,2022,8,252,350,350.0,2896,20,5.7,3,0.9,158.6,46,-123,2.0,46.2,226.0,1.0,1.0,22.0,0.0
Stetson Bennett,25,QB,Georgia,128,2019,5,20,27,27.0,260,2,7.4,1,3.7,172.0,4,12,1.0,,,,,,
Stetson Bennett,25,QB,Georgia,128,2020,8,86,155,155.0,1179,8,5.2,6,3.9,128.7,24,54,2.0,,,,,,
Stetson Bennett,25,QB,Georgia,128,2021,14,185,287,287.0,2862,29,10.1,7,2.4,176.7,56,259,1.0,,,,,,
Stetson Bennett,25,QB,Georgia,128,2022,15,310,454,454.0,4128,27,5.9,7,1.5,161.2,57,205,10.0,,,,,,
Aidan O'Connell,25,QB,Purdue,135,2019,11,103,164,164.0,1101,8,4.9,4,2.4,130.4,15,-9,0.0,62.1,2218.0,12.0,7.0,11.0,1.0
Aidan O'Connell,25,QB,Purdue,135,2020,11,88,136,136.0,916,7,5.1,2,1.5,135.3,12,-64,0.0,62.1,2218.0,12.0,7.0,11.0,1.0
Aidan O'Connell,25,QB,Purdue,135,2021,11,315,439,439.0,3712,28,6.4,11,2.5,158.8,25,-120,1.0,62.1,2218.0,12.0,7.0,11.0,1.0
Aidan O'Connell,25,QB,Purdue,135,2022,11,320,499,499.0,3490,22,4.4,13,2.6,132.2,43,-81,1.0,62.1,2218.0,12.0,7.0,11.0,1.0
Clayton Tune,24,QB,Houston,139,2018,7,59,117,117.0,795,8,6.8,2,1.7,126.6,41,56,1.0,57.1,62.0,0.0,2.0,30.0,1.0
Clayton Tune,24,QB,Houston,139,2019,7,106,179,179.0,1533,11,6.1,9,5.0,141.4,66,244,2.0,57.1,62.0,0.0,2.0,30.0,1.0
Clayton Tune,24,QB,Houston,139,2020,7,170,285,285.0,2048,15,5.3,10,3.5,130.4,72,253,5.0,57.1,62.0,0.0,2.0,30.0,1.0
Clayton Tune,24,QB,Houston,139,2021,7,287,421,421.0,3546,30,7.1,10,2.4,157.7,105,154,2.0,57.1,62.0,0.0,2.0,30.0,1.0
Clayton Tune,24,QB,Houston,139,2022,7,334,496,496.0,4074,40,8.1,10,2.0,158.9,128,544,5.0,57.1,62.0,0.0,2.0,30.0,1.0
Dorian Thompson-Robinson,23,QB,UCLA,140,2018,8,112,194,194.0,1311,7,3.6,4,2.1,122.3,50,68,0.0,53.6,440.0,1.0,4.0,65.0,0.0
Dorian Thompson-Robinson,23,QB,UCLA,140,2019,8,216,362,362.0,2701,21,5.8,12,3.3,134.9,118,198,4.0,53.6,440.0,1.0,4.0,65.0,0.0
Dorian Thompson-Robinson,23,QB,UCLA,140,2020,8,90,138,138.0,1120,12,8.7,4,2.9,156.3,55,306,3.0,53.6,440.0,1.0,4.0,65.0,0.0
Dorian Thompson-Robinson,23,QB,UCLA,140,2021,8,176,283,283.0,2409,21,7.4,6,2.1,153.9,130,609,9.0,53.6,440.0,1.0,4.0,65.0,0.0
Dorian Thompson-Robinson,23,QB,UCLA,140,2022,8,266,382,382.0,3169,27,7.1,10,2.6,157.4,118,645,12.0,53.6,440.0,1.0,4.0,65.0,0.0
Sean Clifford,25,QB,Penn St.,149,2018,2,5,7,7.0,195,2,28.6,0,0.0,399.7,5,-3,0.0,100.0,37.0,0.0,0.0,-2.0,0.0
Sean Clifford,25,QB,Penn St.,149,2019,2,189,319,319.0,2654,23,7.2,7,2.2,148.5,116,402,5.0,100.0,37.0,0.0,0.0,-2.0,0.0
Sean Clifford,25,QB,Penn St.,149,2020,2,152,251,251.0,1883,16,6.4,9,3.6,137.4,99,335,3.0,100.0,37.0,0.0,0.0,-2.0,0.0
Sean Clifford,25,QB,Penn St.,149,2021,2,261,428,428.0,3107,21,4.9,8,1.9,134.4,99,163,2.0,100.0,37.0,0.0,0.0,-2.0,0.0
Sean Clifford,25,QB,Penn St.,149,2022,2,226,351,351.0,2822,24,6.8,7,2.0,150.5,69,176,5.0,100.0,37.0,0.0,0.0,-2.0,0.0
Tanner McKee,23,QB,Stanford,188,2020,2,3,7,7.0,62,0,0.0,0,0.0,117.3,0,0,0.0,66.7,323.0,4.0,0.0,-1.0,0.0
Tanner McKee,23,QB,Stanford,188,2021,2,206,315,315.0,2327,15,4.8,7,2.2,138.7,61,0,4.0,66.7,323.0,4.0,0.0,-1.0,0.0
Tanner McKee,23,QB,Stanford,188,2022,2,264,426,426.0,2947,13,3.1,8,1.9,126.4,74,-90,2.0,66.7,323.0,4.0,0.0,-1.0,0.0
Max Duggan,22,QB,TCU,239,2019,12,181,339,339.0,2077,15,4.4,10,2.9,113.6,130,555,6.0,,,,,,
Max Duggan,22,QB,TCU,239,2020,10,146,240,240.0,1795,10,4.2,4,1.7,134.1,116,526,10.0,,,,,,
Max Duggan,22,QB,TCU,239,2021,10,145,227,227.0,2048,16,7.0,6,2.6,157.6,105,352,3.0,,,,,,
Max Duggan,22,QB,TCU,239,2022,15,267,419,419.0,3698,32,7.6,8,1.9,159.2,137,423,9.0,,,,,,
Caleb Williams,22,QB,USC,1,2021,17,136,211,211.0,1912,21,10.0,4,1.9,169.6,79,442,6.0,62.5,3541.0,20.0,6.0,489.0,0.0
Caleb Williams,22,QB,USC,1,2022,17,333,500,500.0,4537,42,8.4,5,1.0,168.5,113,382,10.0,62.5,3541.0,20.0,6.0,489.0,0.0
Caleb Williams,22,QB,USC,1,2023,17,266,388,388.0,3633,30,7.7,5,1.3,170.1,97,142,11.0,62.5,3541.0,20.0,6.0,489.0,0.0
Jayden Daniels,23,QB,LSU,2,2019,17,205,338,338.0,2943,17,5.0,2,0.6,149.2,125,355,3.0,69.0,3568.0,25.0,9.0,891.0,6.0
Jayden Daniels,23,QB,LSU,2,2020,17,49,84,84.0,701,5,6.0,1,1.2,145.7,33,223,4.0,69.0,3568.0,25.0,9.0,891.0,6.0
Jayden Daniels,23,QB,LSU,2,2021,17,197,301,301.0,2380,10,3.3,10,3.3,136.2,138,710,6.0,69.0,3568.0,25.0,9.0,891.0,6.0
Jayden Daniels,23,QB,LSU,2,2022,17,266,388,388.0,2913,17,4.4,3,0.8,144.5,186,885,11.0,69.0,3568.0,25.0,9.0,891.0,6.0
Jayden Daniels,23,QB,LSU,2,2023,17,236,327,327.0,3812,40,12.2,4,1.2,208.0,135,1134,10.0,69.0,3568.0,25.0,9.0,891.0,6.0
Drake Maye,22,QB,North Carolina,3,2021,13,7,10,10.0,89,1,10.0,0,0.0,177.8,6,62,0.0,66.6,2276.0,15.0,10.0,421.0,2.0
Drake Maye,22,QB,North Carolina,3,2022,13,342,517,517.0,4321,38,7.4,7,1.4,157.9,184,698,7.0,66.6,2276.0,15.0,10.0,421.0,2.0
Drake Maye,22,QB,North Carolina,3,2023,13,269,425,425.0,3608,24,5.6,9,2.1,149.0,112,449,9.0,66.6,2276.0,15.0,10.0,421.0,2.0
Michael Penix,24,QB,Washington,8,2018,5,21,34,34.0,219,1,2.9,0,0.0,125.6,7,45,0.0,58.1,775.0,3.0,3.0,11.0,1.0
Michael Penix,24,QB,Washington,8,2019,5,110,160,160.0,1394,10,6.3,4,2.5,157.6,22,119,2.0,58.1,775.0,3.0,3.0,11.0,1.0
Michael Penix,24,QB,Washington,8,2020,5,124,220,220.0,1645,14,6.4,4,1.8,136.5,18,25,2.0,58.1,775.0,3.0,3.0,11.0,1.0
Michael Penix,24,QB,Washington,8,2021,5,87,162,162.0,939,4,2.5,7,4.3,101.9,17,-24,2.0,58.1,775.0,3.0,3.0,11.0,1.0
Michael Penix,24,QB,Washington,8,2022,5,362,554,554.0,4641,31,5.6,8,1.4,151.3,35,92,4.0,58.1,775.0,3.0,3.0,11.0,1.0
Michael Penix,24,QB,Washington,8,2023,5,363,555,555.0,4903,36,6.5,11,2.0,157.1,35,8,3.0,58.1,775.0,3.0,3.0,11.0,1.0
J.J. McCarthy,21,QB,Michigan,10,2021,11,34,59,59.0,516,5,8.5,2,3.4,152.3,27,124,2.0,,,,,,
J.J. McCarthy,21,QB,Michigan,10,2022,14,208,322,322.0,2719,22,6.8,5,1.6,155.0,70,306,5.0,,,,,,
