name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Matt Jones,22,RB,Florida,95,2013,13,79,339,2,19,304,1,490.0,3.0
Matt Jones,22,RB,Florida,95,2014*,13,166,817,6,19,304,1,490.0,3.0
Jeremy Langford,23,RB,Michigan St.,106,2011*,16,0,0,0,22,279,1,537.0,6.0
Jeremy Langford,23,RB,Michigan St.,106,2012*,16,9,23,0,22,279,1,537.0,6.0
Jeremy Langford,23,RB,Michigan St.,106,2013*,16,292,1422,18,22,279,1,537.0,6.0
Jeremy Langford,23,RB,Michigan St.,106,2014*,16,276,1522,22,22,279,1,537.0,6.0
Javorius Allen,24,RB,USC,125,2012*,16,6,32,0,45,353,2,514.0,1.0
Javorius Allen,24,RB,USC,125,2013*,16,135,785,14,45,353,2,514.0,1.0
Javorius Allen,24,RB,USC,125,2014*,16,276,1489,11,45,353,2,514.0,1.0
Mike Davis,22,RB,South Carolina,126,2012*,6,52,275,2,7,38,0,58.0,0.0
Mike Davis,22,RB,South Carolina,126,2013*,6,203,1183,11,7,38,0,58.0,0.0
Mike Davis,22,RB,South Carolina,126,2014*,6,199,982,9,7,38,0,58.0,0.0
David Cobb,22,RB,Minnesota,138,2011,7,10,57,0,1,-2,0,146.0,1.0
David Cobb,22,RB,Minnesota,138,2012*,7,1,8,0,1,-2,0,146.0,1.0
David Cobb,22,RB,Minnesota,138,2013*,7,237,1202,7,1,-2,0,146.0,1.0
David Cobb,22,RB,Minnesota,138,2014*,7,314,1626,13,1,-2,0,146.0,1.0
Jay Ajayi,22,RB,Boise St.,149,2012*,9,82,548,4,7,90,0,187.0,1.0
Jay Ajayi,22,RB,Boise St.,149,2013*,9,249,1425,18,7,90,0,187.0,1.0
Jay Ajayi,22,RB,Boise St.,149,2014*,9,347,1823,28,7,90,0,187.0,1.0
Karlos Williams,22,RB,Florida St.,155,2011*,11,0,0,0,11,96,2,517.0,7.0
Karlos Williams,22,RB,Florida St.,155,2012*,11,0,0,0,11,96,2,517.0,7.0
Karlos Williams,22,RB,Florida St.,155,2013*,11,91,730,11,11,96,2,517.0,7.0
Karlos Williams,22,RB,Florida St.,155,2014*,11,150,689,11,11,96,2,517.0,7.0
Cameron Artis-Payne,25,RB,Auburn,174,2013*,7,91,610,6,5,58,0,183.0,1.0
Cameron Artis-Payne,25,RB,Auburn,174,2014*,7,303,1608,13,5,58,0,183.0,1.0
Josh Robinson,23,RB,Mississippi St.,205,2012*,5,55,335,1,6,33,0,39.0,0.0
Josh Robinson,23,RB,Mississippi St.,205,2013*,5,78,459,3,6,33,0,39.0,0.0
Josh Robinson,23,RB,Mississippi St.,205,2014*,5,190,1203,11,6,33,0,39.0,0.0
Marcus Murphy,23,RB,Missouri,230,2010*,13,22,181,2,0,0,0,0.0,0.0
Marcus Murphy,23,RB,Missouri,230,2012,13,46,251,1,0,0,0,0.0,0.0
Marcus Murphy,23,RB,Missouri,230,2013*,13,92,601,9,0,0,0,0.0,0.0
Marcus Murphy,23,RB,Missouri,230,2014*,13,177,924,4,0,0,0,0.0,0.0
Kenny Hilliard,23,RB,LSU,235,2011*,13,62,336,8,3,13,1,,
Kenny Hilliard,23,RB,LSU,235,2012*,12,82,464,6,3,21,0,,
Kenny Hilliard,23,RB,LSU,235,2013*,12,68,310,7,1,0,0,,
Kenny Hilliard,23,RB,LSU,235,2014*,11,90,447,6,4,35,0,,
Ezekiel Elliott,21,RB,Ohio St.,4,2013*,15,30,262,2,32,363,1,1631.0,15.0
