name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,collegeURL,rushingYDS,rushingTDS
Carlos Hyde,23,RB,,,,14.0,,,,12.0,68.0,0.0,,333.0,4.0
Charles Sims,23,RB,West Virginia,69.0,2009*,14.0,132.0,698.0,9.0,70.0,759.0,1.0,/cfb/schools/houston/2009.html,,
Charles Sims,23,RB,West Virginia,69.0,2011*,13.0,110.0,821.0,9.0,51.0,575.0,4.0,/cfb/schools/houston/2011.html,,
Charles Sims,23,RB,West Virginia,69.0,2012,9.0,142.0,851.0,11.0,37.0,373.0,3.0,/cfb/schools/houston/2012.html,,
Charles Sims,23,RB,West Virginia,69.0,2013,12.0,208.0,1095.0,11.0,45.0,401.0,3.0,/cfb/schools/west-virginia/2013.html,,
Charles Sims,23,RB,,,,8.0,,,,19.0,190.0,0.0,,185.0,1.0
Tre Mason,21,RB,Auburn,75.0,2011*,12.0,28.0,161.0,1.0,0.0,0.0,0.0,/cfb/schools/auburn/2011.html,,
Tre Mason,21,RB,Auburn,75.0,2012,12.0,171.0,1002.0,8.0,7.0,86.0,0.0,/cfb/schools/auburn/2012.html,,
Tre Mason,21,RB,Auburn,75.0,2013*,14.0,317.0,1816.0,23.0,12.0,163.0,1.0,/cfb/schools/auburn/2013.html,,
Tre Mason,21,RB,,,,12.0,,,,16.0,148.0,1.0,,765.0,4.0
Terrance West,23,RB,Towson,94.0,2011,12.0,0.0,0.0,0.0,31.0,454.0,4.0,/cfb/schools/mississippi/2011.html,,
Terrance West,23,RB,Towson,94.0,2012*,13.0,0.0,0.0,0.0,66.0,979.0,10.0,/cfb/schools/mississippi/2012.html,,
Terrance West,23,RB,Towson,94.0,2013*,13.0,0.0,0.0,0.0,59.0,938.0,6.0,/cfb/schools/mississippi/2013.html,,
Terrance West,23,RB,,,,14.0,,,,11.0,64.0,1.0,,673.0,4.0
Jerick McKinnon,22,RB,Georgia Southern,96.0,2011,12.0,0.0,0.0,0.0,31.0,454.0,4.0,/cfb/schools/mississippi/2011.html,,
Jerick McKinnon,22,RB,Georgia Southern,96.0,2012*,13.0,0.0,0.0,0.0,66.0,979.0,10.0,/cfb/schools/mississippi/2012.html,,
Jerick McKinnon,22,RB,Georgia Southern,96.0,2013*,13.0,0.0,0.0,0.0,59.0,938.0,6.0,/cfb/schools/mississippi/2013.html,,
Jerick McKinnon,22,RB,,,,11.0,,,,27.0,135.0,0.0,,538.0,0.0
Devonta Freeman,22,RB,Florida St.,103.0,2011*,12.0,120.0,579.0,8.0,15.0,111.0,0.0,/cfb/schools/florida-state/2011.html,,
Devonta Freeman,22,RB,Florida St.,103.0,2012*,14.0,111.0,660.0,8.0,10.0,86.0,0.0,/cfb/schools/florida-state/2012.html,,
Devonta Freeman,22,RB,Florida St.,103.0,2013*,14.0,173.0,1016.0,14.0,22.0,278.0,1.0,/cfb/schools/florida-state/2013.html,,
Devonta Freeman,22,RB,,,,16.0,,,,30.0,225.0,1.0,,248.0,1.0
Andre Williams,22,RB,Boston Col.,113.0,2010*,12.0,95.0,461.0,2.0,4.0,15.0,0.0,/cfb/schools/boston-college/2010.html,,
Andre Williams,22,RB,Boston Col.,113.0,2011,10.0,124.0,517.0,4.0,2.0,11.0,0.0,/cfb/schools/boston-college/2011.html,,
Andre Williams,22,RB,Boston Col.,113.0,2012,9.0,130.0,584.0,4.0,4.0,34.0,0.0,/cfb/schools/boston-college/2012.html,,
Andre Williams,22,RB,Boston Col.,113.0,2013*,13.0,355.0,2177.0,18.0,0.0,0.0,0.0,/cfb/schools/boston-college/2013.html,,
Andre Williams,22,RB,,,,16.0,,,,18.0,130.0,0.0,,721.0,7.0
Ka'Deem Carey,21,RB,Arizona,117.0,2011,11.0,91.0,425.0,6.0,15.0,203.0,2.0,/cfb/schools/arizona/2011.html,,
Ka'Deem Carey,21,RB,Arizona,117.0,2012*,13.0,303.0,1929.0,23.0,36.0,303.0,1.0,/cfb/schools/arizona/2012.html,,
Ka'Deem Carey,21,RB,Arizona,117.0,2013*,12.0,349.0,1885.0,19.0,26.0,173.0,1.0,/cfb/schools/arizona/2013.html,,
Ka'Deem Carey,21,RB,,,,14.0,,,,5.0,57.0,0.0,,158.0,0.0
De'Anthony Thomas,21,RB,Oregon,124.0,2011*,14.0,55.0,595.0,7.0,46.0,605.0,9.0,/cfb/schools/oregon/2011.html,,
De'Anthony Thomas,21,RB,Oregon,124.0,2012*,13.0,92.0,701.0,11.0,45.0,445.0,5.0,/cfb/schools/oregon/2012.html,,
De'Anthony Thomas,21,RB,Oregon,124.0,2013*,10.0,96.0,594.0,8.0,22.0,246.0,1.0,/cfb/schools/oregon/2013.html,,
De'Anthony Thomas,21,RB,,,,,,,,,,,,,
James White,22,RB,Wisconsin,130.0,2010*,12.0,156.0,1052.0,14.0,11.0,88.0,0.0,/cfb/schools/wisconsin/2010.html,,
James White,22,RB,Wisconsin,130.0,2011*,13.0,141.0,713.0,6.0,15.0,150.0,0.0,/cfb/schools/wisconsin/2011.html,,
James White,22,RB,Wisconsin,130.0,2012*,14.0,125.0,806.0,12.0,8.0,132.0,1.0,/cfb/schools/wisconsin/2012.html,,
James White,22,RB,Wisconsin,130.0,2013*,13.0,221.0,1444.0,13.0,39.0,300.0,2.0,/cfb/schools/wisconsin/2013.html,,
James White,22,RB,,,,,,,,,,,,,
Lorenzo Taliaferro,22,RB,Coastal Carolina,138.0,2009*,12.0,59.0,-105.0,1.0,1.0,-2.0,0.0,/cfb/schools/rutgers/2009.html,,
Lorenzo Taliaferro,22,RB,Coastal Carolina,138.0,2010,6.0,32.0,-6.0,0.0,0.0,0.0,0.0,/cfb/schools/rutgers/2010.html,,
Lorenzo Taliaferro,22,RB,Coastal Carolina,138.0,2013*,13.0,76.0,-208.0,3.0,0.0,0.0,0.0,/cfb/schools/pittsburgh/2013.html,,
Lorenzo Taliaferro,22,RB,,,,13.0,,,,8.0,114.0,0.0,,292.0,4.0
Alfred Blue,23,RB,LSU,181.0,2010*,11.0,20.0,101.0,1.0,1.0,1.0,0.0,/cfb/schools/louisiana-state/2010.html,,
Alfred Blue,23,RB,LSU,181.0,2011*,13.0,78.0,539.0,7.0,3.0,-3.0,0.0,/cfb/schools/louisiana-state/2011.html,,
Alfred Blue,23,RB,LSU,181.0,2012*,4.0,40.0,270.0,2.0,7.0,45.0,0.0,/cfb/schools/louisiana-state/2012.html,,
Alfred Blue,23,RB,LSU,181.0,2013*,13.0,71.0,343.0,1.0,5.0,62.0,0.0,/cfb/schools/louisiana-state/2013.html,,
Alfred Blue,23,RB,,,,16.0,,,,15.0,113.0,1.0,,528.0,2.0
Lache Seastrunk,23,RB,Baylor,186.0,2012*,13.0,131.0,1012.0,7.0,9.0,107.0,1.0,/cfb/schools/baylor/2012.html,,
Lache Seastrunk,23,RB,Baylor,186.0,2013*,11.0,158.0,1177.0,11.0,0.0,0.0,0.0,/cfb/schools/baylor/2013.html,,
Lache Seastrunk,23,RB,,,,,,,,,,,,,
Marion Grice,23,RB,Arizona St.,201.0,2012*,13.0,103.0,679.0,11.0,41.0,425.0,8.0,/cfb/schools/arizona-state/2012.html,,
Marion Grice,23,RB,Arizona St.,201.0,2013*,11.0,191.0,996.0,14.0,50.0,438.0,6.0,/cfb/schools/arizona-state/2013.html,,
Marion Grice,23,RB,,,,10.0,,,,7.0,29.0,0.0,,41.0,1.0
Tyler Gaffney,23,RB,Stanford,204.0,2009*,12.0,22.0,87.0,1.0,2.0,39.0,0.0,/cfb/schools/stanford/2009.html,,
Tyler Gaffney,23,RB,Stanford,204.0,2010*,10.0,60.0,255.0,4.0,3.0,60.0,2.0,/cfb/schools/stanford/2010.html,,
Tyler Gaffney,23,RB,Stanford,204.0,2011*,13.0,74.0,449.0,7.0,12.0,79.0,1.0,/cfb/schools/stanford/2011.html,,
Tyler Gaffney,23,RB,Stanford,204.0,2013*,14.0,330.0,1709.0,21.0,15.0,86.0,1.0,/cfb/schools/stanford/2013.html,,
Tyler Gaffney,23,RB,,,,,,,,,,,,,
Storm Johnson,22,RB,Central Florida,222.0,2010*,10.0,9.0,119.0,1.0,1.0,9.0,0.0,/cfb/schools/miami-fl/2010.html,,
Storm Johnson,22,RB,Central Florida,222.0,2012*,13.0,113.0,507.0,4.0,10.0,20.0,0.0,/cfb/schools/central-florida/2012.html,,
Storm Johnson,22,RB,Central Florida,222.0,2013*,13.0,213.0,1139.0,14.0,30.0,260.0,3.0,/cfb/schools/central-florida/2013.html,,
Storm Johnson,22,RB,,,,6.0,,,,1.0,-4.0,0.0,,86.0,2.0
Kiero Small,25,RB,Arkansas,227.0,2011*,13.0,1.0,1.0,1.0,1.0,7.0,0.0,/cfb/schools/arkansas/2011.html,,
Kiero Small,25,RB,Arkansas,227.0,2013,12.0,40.0,151.0,3.0,19.0,128.0,1.0,/cfb/schools/arkansas/2013.html,,
Kiero Small,25,RB,,,,,,,,,,,,,
