name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Sammie Coates,22,WR,Auburn,87.0,2014*,12.0,34.0,741.0,4.0,0.0,0.0,0.0,/cfb/schools/auburn/2014.html
Sammie Coates,22,WR,,,,6.0,1.0,11.0,0.0,,,,
Ty Montgomery,22,WR,Stanford,94.0,2011*,13.0,24.0,350.0,2.0,2.0,42.0,1.0,/cfb/schools/stanford/2011.html
Ty Montgomery,22,WR,Stanford,94.0,2012*,11.0,26.0,213.0,0.0,1.0,-11.0,0.0,/cfb/schools/stanford/2012.html
Ty Montgomery,22,WR,Stanford,94.0,2013*,14.0,61.0,958.0,10.0,13.0,159.0,2.0,/cfb/schools/stanford/2013.html
Ty Montgomery,22,WR,Stanford,94.0,2014*,11.0,61.0,604.0,3.0,23.0,144.0,1.0,/cfb/schools/stanford/2014.html
Ty Montgomery,22,WR,,,,,,,,,,,
Jamison Crowder,22,WR,Duke,105.0,2011,12.0,14.0,163.0,1.0,8.0,42.0,0.0,/cfb/schools/duke/2011.html
Jamison Crowder,22,WR,Duke,105.0,2012*,13.0,76.0,1074.0,8.0,3.0,13.0,0.0,/cfb/schools/duke/2012.html
Jamison Crowder,22,WR,Duke,105.0,2013*,14.0,108.0,1360.0,8.0,8.0,71.0,1.0,/cfb/schools/duke/2013.html
Jamison Crowder,22,WR,Duke,105.0,2014*,13.0,85.0,1044.0,6.0,2.0,9.0,0.0,/cfb/schools/duke/2014.html
Jamison Crowder,22,WR,,,,16.0,59.0,604.0,2.0,,,,
Justin Hardy,23,WR,East Carolina,107.0,2011,10.0,64.0,658.0,6.0,0.0,0.0,0.0,/cfb/schools/east-carolina/2011.html
Justin Hardy,23,WR,East Carolina,107.0,2012*,13.0,88.0,1105.0,11.0,0.0,0.0,0.0,/cfb/schools/east-carolina/2012.html
Justin Hardy,23,WR,East Carolina,107.0,2013*,13.0,114.0,1284.0,8.0,0.0,0.0,0.0,/cfb/schools/east-carolina/2013.html
Justin Hardy,23,WR,East Carolina,107.0,2014*,13.0,121.0,1494.0,10.0,1.0,7.0,1.0,/cfb/schools/east-carolina/2014.html
Justin Hardy,23,WR,,,,9.0,21.0,194.0,0.0,,,,
Vince Mayle,24,WR,Washington St.,123.0,2013*,11.0,42.0,539.0,7.0,0.0,0.0,0.0,/cfb/schools/washington-state/2013.html
Vince Mayle,24,WR,Washington St.,123.0,2014,12.0,106.0,1483.0,9.0,0.0,0.0,0.0,/cfb/schools/washington-state/2014.html
Vince Mayle,24,WR,,,,,,,,,,,
DeAndre Smelter,23,WR,Georgia Tech,132.0,2013*,12.0,21.0,345.0,4.0,1.0,12.0,0.0,/cfb/schools/georgia-tech/2013.html
DeAndre Smelter,23,WR,Georgia Tech,132.0,2014*,12.0,35.0,715.0,7.0,3.0,103.0,1.0,/cfb/schools/georgia-tech/2014.html
DeAndre Smelter,23,WR,,,,2.0,1.0,23.0,0.0,,,,
