name,position_x,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,position_y,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
David Reed,WR,Utah,156.0,2009.0,13.0,81.0,1188.0,5.0,4.0,4.0,0.0,/cfb/schools/utah/2009.html,14.666666666666666,91.3846153846154,0.3846153846153846,6.230769230769231,18.8,229.2,1.5,58.53846153846154,4.307692307692308,-0.0769230769230769,0.4615384615384615,1.9230769230769231,32.84615384615385,23,WR,13.0,0.0,0.0,0.0
Riley Cooper,WR,Florida,159.0,2009.0,14.0,51.0,961.0,9.0,1.0,14.0,0.0,/cfb/schools/florida/2009.html,18.84313725490196,68.64285714285714,0.6428571428571429,3.642857142857143,17.8,236.1,2.0,50.0,2.3571428571428568,0.4285714285714286,0.2142857142857142,1.2857142857142858,18.642857142857142,22,WR,13.0,7.0,116.0,1.0
Carlton Mitchell,WR,South Florida,177.0,2009.0,11.0,40.0,706.0,4.0,0.0,0.0,0.0,/cfb/schools/south-florida/2009.html,17.65,64.18181818181819,0.3636363636363636,3.636363636363636,12.9,194.7,1.5,33.027972027972034,1.4825174825174825,0.2867132867132867,0.0769230769230769,2.1538461538461537,31.153846153846157,22,WR,5.0,0.0,0.0,0.0
Dezmon Briscoe,WR,Kansas,191.0,2009.0,11.0,84.0,1337.0,9.0,2.0,19.0,1.0,/cfb/schools/kansas/2009.html,15.916666666666666,121.54545454545456,0.8181818181818182,7.636363636363637,26.7,310.3,1.8,13.31468531468532,0.55944055944056,-0.3356643356643355,1.1538461538461535,7.076923076923077,108.23076923076924,21,WR,2.0,6.0,93.0,1.0
Antonio Brown,WR,Central Michigan,195.0,2009.0,14.0,110.0,1198.0,9.0,42.0,341.0,3.0,/cfb/schools/central-michigan/2009.html,10.89090909090909,85.57142857142857,0.6428571428571429,7.857142857142857,23.5,255.5,2.0,8.802197802197796,0.7032967032967026,0.1043956043956044,0.5384615384615384,7.153846153846154,76.76923076923077,22,WR,9.0,16.0,167.0,0.0
David Gettis,WR,Baylor,198.0,2009.0,12.0,52.0,675.0,3.0,0.0,0.0,0.0,/cfb/schools/baylor/2009.html,12.98076923076923,56.25,0.25,4.333333333333333,22.3,242.3,1.1,23.666666666666664,1.9166666666666663,0.25,0.0,2.4166666666666665,32.583333333333336,23,WR,15.0,37.0,508.0,3.0
Kyle Williams,WR,Arizona St.,206.0,2009.0,11.0,57.0,815.0,8.0,5.0,73.0,0.0,/cfb/schools/arizona-state/2009.html,14.298245614035087,74.0909090909091,0.7272727272727273,5.181818181818182,18.8,215.2,1.4,41.0,3.454545454545454,0.3636363636363636,0.3636363636363636,1.7272727272727273,33.09090909090909,22,WR,5.0,1.0,8.0,0.0
Terrence Austin,WR,UCLA,219.0,2009.0,13.0,37.0,455.0,4.0,5.0,25.0,0.0,/cfb/schools/ucla/2009.html,12.297297297297296,35.0,0.3076923076923077,2.8461538461538463,18.8,222.8,0.8,-3.333333333333336,-1.5705128205128207,0.2243589743589744,0.0833333333333333,4.416666666666667,38.333333333333336,22,WR,5.0,3.0,47.0,0.0
Marc Mariani,WR,Montana,222.0,2009.0,13.0,37.0,455.0,4.0,5.0,25.0,0.0,/cfb/schools/ucla/2009.html,12.297297297297296,35.0,0.3076923076923077,2.8461538461538463,18.8,222.8,0.8,-3.333333333333336,-1.5705128205128207,0.2243589743589744,0.0833333333333333,4.416666666666667,38.333333333333336,23,WR,16.0,0.0,0.0,0.0
Dorin Dickerson,WR,Pittsburgh,227.0,2009.0,13.0,49.0,529.0,10.0,0.0,0.0,0.0,/cfb/schools/pittsburgh/2009.html,10.79591836734694,40.69230769230769,0.7692307692307693,3.769230769230769,16.8,211.3,1.8,27.307692307692307,2.769230769230769,0.6153846153846154,0.1538461538461538,1.0,13.384615384615383,22,WR,7.0,0.0,0.0,0.0
A.J. Green,WR,Georgia,4.0,2010.0,9.0,57.0,848.0,9.0,3.0,44.0,0.0,/cfb/schools/georgia/2010.html,14.87719298245614,94.22222222222224,1.0,6.333333333333333,16.8,242.4,1.9,13.422222222222231,1.0333333333333332,0.4,0.6,5.3,80.8,23,WR,15.0,65.0,1057.0,7.0
Julio Jones,WR,Alabama,6.0,2010.0,13.0,78.0,1133.0,7.0,8.0,135.0,2.0,/cfb/schools/alabama/2010.html,14.525641025641026,87.15384615384616,0.5384615384615384,6.0,19.5,261.2,1.8,41.30769230769232,2.6923076923076925,0.2307692307692307,0.3076923076923077,3.3076923076923075,45.84615384615385,22,WR,13.0,54.0,959.0,8.0
Jonathan Baldwin,WR,Pittsburgh,26.0,2010.0,13.0,53.0,822.0,5.0,3.0,3.0,0.0,/cfb/schools/pittsburgh/2010.html,15.50943396226415,63.23076923076923,0.3846153846153846,4.076923076923077,17.7,201.2,1.2,-22.230769230769237,-0.3076923076923084,-0.2307692307692307,0.6153846153846154,4.384615384615385,85.46153846153847,22,WR,11.0,21.0,254.0,1.0
