name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG
Sammie Coates,Auburn,87.0,2014.0,34.0,741.0,4.0,0.0,0.0,0.0,61.75,0.3333333333333333,2.833333333333333,-7.634615384615387,-0.3974358974358973,-0.2051282051282051,0.5384615384615384,3.230769230769231,69.38461538461539,22,6.0,1.0,11.0,0.0,0.2690631808278867,0.012345679012345678,0.18518518518518517,1.8333333333333333,0.0,0.16666666666666666
Jamison Crowder,Duke,105.0,2014.0,85.0,1044.0,6.0,2.0,9.0,0.0,80.3076923076923,0.4615384615384615,6.538461538461538,-16.835164835164832,-1.175824175824176,-0.1098901098901098,0.5714285714285714,7.714285714285714,97.14285714285714,22,16.0,59.0,604.0,2.0,0.3709362231302185,0.030200746136081008,0.2564102564102564,37.75,0.125,3.6875
Justin Hardy,East Carolina,107.0,2014.0,121.0,1494.0,10.0,1.0,7.0,1.0,114.92307692307692,0.7692307692307693,9.307692307692308,16.153846153846146,0.5384615384615383,0.1538461538461538,0.6153846153846154,8.76923076923077,98.76923076923076,23,9.0,21.0,194.0,0.0,0.3090160713177653,0.025027406043808306,0.32051282051282054,21.555555555555557,0.0,2.3333333333333335
DeAndre Smelter,Georgia Tech,132.0,2014.0,35.0,715.0,7.0,3.0,103.0,1.0,59.583333333333336,0.5833333333333334,2.9166666666666665,30.833333333333336,1.1666666666666663,0.25,0.3333333333333333,1.75,28.75,23,2.0,1.0,23.0,0.0,0.443328373015873,0.021701388888888888,0.41666666666666674,11.5,0.0,0.5
Rashad Greene,Florida St.,139.0,2014.0,99.0,1365.0,7.0,1.0,-2.0,0.0,97.5,0.5,7.071428571428571,16.92857142857143,1.6428571428571423,-0.1428571428571429,0.6428571428571429,5.428571428571429,80.57142857142857,22,9.0,19.0,93.0,2.0,0.3214638971315529,0.023314963967782956,0.2631578947368421,10.333333333333334,0.2222222222222222,2.111111111111111
Stefon Diggs,Maryland,146.0,2014.0,62.0,792.0,5.0,5.0,28.0,0.0,79.2,0.5,6.2,-4.657142857142858,1.3428571428571434,0.0714285714285714,0.4285714285714285,4.857142857142857,83.85714285714286,21,13.0,52.0,720.0,4.0,0.3596730245231608,0.028156221616712083,0.3333333333333333,55.38461538461539,0.3076923076923077,4.0
JJ Nelson,Ala-Birmingham,159.0,2014.0,11.0,145.0,3.0,1.0,1.0,0.0,11.153846153846152,0.2307692307692307,0.8461538461538461,-14.512820512820516,-0.9871794871794872,-0.2692307692307692,0.5,1.8333333333333333,25.666666666666668,23,11.0,11.0,299.0,2.0,0.048600636835930945,0.0036869448634154517,0.12820512820512817,27.181818181818183,0.18181818181818182,1.0
Keith Mumphery,Michigan St.,175.0,2014.0,26.0,495.0,3.0,6.0,85.0,1.0,38.07692307692308,0.2307692307692307,2.0,13.160256410256412,0.5,-0.0192307692307692,0.25,1.5,24.916666666666668,23,16.0,14.0,129.0,0.0,0.1433619091751622,0.00753012048192771,0.11538461538461535,8.0625,0.0,0.875
Geremy Davis,Connecticut,186.0,2014.0,44.0,521.0,3.0,0.0,0.0,0.0,47.36363636363637,0.2727272727272727,4.0,-43.05303030303031,-1.916666666666667,0.0227272727272727,0.25,5.916666666666667,90.41666666666669,23,10.0,2.0,21.0,0.0,0.279761585136659,0.02362669816893089,0.2727272727272727,2.1,0.0,0.2
Darren Waller,Georgia Tech,204.0,2014.0,26.0,442.0,6.0,0.0,0.0,0.0,36.833333333333336,0.5,2.1666666666666665,-3.944444444444443,0.2777777777777777,0.1666666666666666,0.3333333333333333,1.8888888888888888,40.77777777777778,22,6.0,2.0,18.0,0.0,0.2740575396825397,0.016121031746031744,0.35714285714285715,3.0,0.0,0.3333333333333333
Neal Sterling,Monmouth,220.0,2014.0,39.0,399.0,3.0,0.0,0.0,0.0,33.25,0.25,3.25,5.795454545454547,0.7045454545454546,0.0681818181818181,0.1818181818181818,2.5454545454545454,27.454545454545453,23,9.0,0.0,0.0,0.0,0.1516187870497036,0.014819881440948472,0.1923076923076923,0.0,0.0,0.0
Mario Alford,West Virginia,238.0,2014.0,65.0,945.0,11.0,2.0,14.0,0.0,72.6923076923077,0.8461538461538461,5.0,11.358974358974358,2.0,0.6239316239316239,0.2222222222222222,3.0,61.333333333333336,23,1.0,1.0,15.0,0.0,0.22931327347731134,0.015772870662460567,0.4230769230769231,15.0,0.0,1.0
Tre McBride,William & Mary,245.0,2014.0,65.0,945.0,11.0,2.0,14.0,0.0,72.6923076923077,0.8461538461538461,5.0,11.358974358974358,2.0,0.6239316239316239,0.2222222222222222,3.0,61.333333333333336,22,7.0,2.0,8.0,1.0,0.22931327347731134,0.015772870662460567,0.4230769230769231,1.1428571428571428,0.14285714285714285,0.2857142857142857
