name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC
Jonathan Baldwin,Pittsburgh,26.0,2010.0,53.0,822.0,5.0,3.0,3.0,0.0,63.23076923076923,0.3846153846153846,4.076923076923077,-22.230769230769237,-0.3076923076923084,-0.2307692307692307,0.6153846153846154,4.384615384615385,85.46153846153847,22,11.0,21.0,254.0,1.0,0.3142682367334455,0.02026303716164551,0.3205128205128205,23.09090909090909,0.09090909090909091,1.9090909090909092,True,False,False,False,False
Titus Young,Boise St.,44.0,2010.0,71.0,1215.0,9.0,14.0,94.0,1.0,93.46153846153848,0.6923076923076923,5.461538461538462,19.10439560439561,-0.1813186813186815,-0.021978021978022,0.7142857142857143,5.642857142857143,74.35714285714286,22,16.0,48.0,607.0,6.0,0.29106676568526463,0.017008839805476367,0.23872679045092837,37.9375,0.375,3.0,False,False,False,True,False
Torrey Smith,Maryland,58.0,2010.0,67.0,1055.0,12.0,9.0,7.0,0.0,81.15384615384616,0.9230769230769232,5.153846153846154,12.487179487179487,0.0705128205128211,0.5064102564102564,0.4166666666666667,5.083333333333333,68.66666666666667,22,16.0,50.0,841.0,7.0,0.3779871735158182,0.024004872630862387,0.4395604395604396,52.5625,0.4375,3.125,False,False,True,False,False
Austin Pettis,Boise St.,78.0,2010.0,71.0,951.0,10.0,0.0,0.0,0.0,73.15384615384616,0.7692307692307693,5.461538461538462,7.384615384615387,0.6153846153846159,-0.3076923076923076,1.0769230769230769,4.846153846153846,65.76923076923077,23,12.0,27.0,256.0,0.0,0.227822628943775,0.017008839805476367,0.26525198938992045,21.333333333333332,0.0,2.25,False,False,False,True,False
Leonard Hankerson,Miami (FL),79.0,2010.0,72.0,1156.0,13.0,0.0,0.0,0.0,88.92307692307692,1.0,5.538461538461538,27.307692307692307,2.0769230769230766,0.5384615384615384,0.4615384615384615,3.4615384615384617,61.61538461538461,22,4.0,13.0,163.0,0.0,0.37237469398273415,0.023192887514495553,0.625,40.75,0.0,3.25,True,False,False,False,False
Vincent Brown,San Diego St.,82.0,2010.0,69.0,1352.0,10.0,1.0,-13.0,0.0,104.0,0.7692307692307693,5.307692307692308,-7.142857142857139,-1.1208791208791211,-0.0879120879120878,0.8571428571428571,6.428571428571429,111.14285714285714,22,14.0,19.0,329.0,2.0,0.35206499661475965,0.017967814176344986,0.34965034965034963,23.5,0.14285714285714285,1.3571428571428572,False,False,False,True,False
Jerrel Jernigan,Troy,83.0,2010.0,84.0,822.0,6.0,45.0,322.0,3.0,63.23076923076923,0.4615384615384615,6.461538461538462,-21.46153846153846,1.0,0.1538461538461538,0.3076923076923077,5.461538461538462,84.6923076923077,22,8.0,0.0,0.0,0.0,0.21304167530582624,0.02177068214804064,0.1846153846153846,0.0,0.0,0.0,False,False,False,True,False
Kris Durham,Georgia,107.0,2010.0,32.0,659.0,3.0,0.0,0.0,0.0,59.90909090909091,0.2727272727272727,2.909090909090909,40.00909090909091,1.6090909090909091,0.1727272727272727,0.1,1.3,19.9,23,3.0,3.0,30.0,0.0,0.24714971497149713,0.012001200120012,0.14354066985645933,10.0,0.0,1.0,False,False,False,False,True
Clyde Gates,Abilene Christian,111.0,2010.0,32.0,659.0,3.0,0.0,0.0,0.0,59.90909090909091,0.2727272727272727,2.909090909090909,40.00909090909091,1.6090909090909091,0.1727272727272727,0.1,1.3,19.9,25,15.0,2.0,19.0,0.0,0.24714971497149713,0.012001200120012,0.14354066985645933,1.2666666666666666,0.0,0.13333333333333333,False,False,False,True,False
Greg Salas,Hawaii,112.0,2010.0,119.0,1889.0,14.0,0.0,0.0,0.0,134.92857142857142,1.0,8.5,12.62087912087911,0.3461538461538467,0.3846153846153846,0.6153846153846154,8.153846153846153,122.3076923076923,23,6.0,27.0,264.0,0.0,0.3421977464584616,0.02155718995688562,0.3333333333333333,44.0,0.0,4.5,False,False,False,True,False
Cecil Shorts,Mount Union,114.0,2010.0,119.0,1889.0,14.0,0.0,0.0,0.0,134.92857142857142,1.0,8.5,12.62087912087911,0.3461538461538467,0.3846153846153846,0.6153846153846154,8.153846153846153,122.3076923076923,23,10.0,2.0,30.0,1.0,0.3421977464584616,0.02155718995688562,0.3333333333333333,3.0,0.1,0.2,False,False,False,True,False
Tandon Doss,Indiana,123.0,2010.0,63.0,706.0,7.0,28.0,163.0,1.0,64.18181818181819,0.6363636363636364,5.727272727272728,-15.984848484848484,-0.6893939393939394,0.2196969696969696,0.4166666666666667,6.416666666666667,80.16666666666667,21,6.0,0.0,0.0,0.0,0.22347429729045332,0.01994175740693847,0.30303030303030304,0.0,0.0,0.0,False,False,True,False,False
Kealoha Pilares,Hawaii,132.0,2010.0,88.0,1306.0,15.0,0.0,0.0,0.0,100.46153846153848,1.1538461538461535,6.769230769230769,47.38461538461539,1.6923076923076923,0.846153846153846,0.3076923076923077,5.076923076923077,53.07692307692308,23,8.0,2.0,42.0,1.0,0.25478452564427717,0.01716771688874149,0.3846153846153845,5.25,0.125,0.25,False,False,False,True,False
Denarius Moore,Tennessee,148.0,2010.0,47.0,981.0,9.0,7.0,82.0,1.0,75.46153846153847,0.6923076923076923,3.615384615384616,33.92307692307693,0.5384615384615383,0.1538461538461538,0.5384615384615384,3.076923076923077,41.53846153846154,22,13.0,33.0,618.0,5.0,0.296508991990328,0.014205833459271575,0.34615384615384615,47.53846153846154,0.38461538461538464,2.5384615384615383,False,False,False,False,True
Jeremy Kerley,TCU,153.0,2010.0,56.0,575.0,10.0,18.0,97.0,2.0,44.23076923076923,0.7692307692307693,4.307692307692308,3.3076923076923137,0.9230769230769228,0.6153846153846154,0.1538461538461538,3.3846153846153846,40.92307692307692,22,14.0,29.0,314.0,1.0,0.19272666331489863,0.0187699011228423,0.34965034965034963,22.428571428571427,0.07142857142857142,2.0714285714285716,False,True,False,False,False
Niles Paul,Nebraska,155.0,2010.0,39.0,516.0,1.0,5.0,14.0,0.0,43.0,0.0833333333333333,3.25,-13.857142857142854,0.3928571428571428,-0.2023809523809523,0.2857142857142857,2.857142857142857,56.85714285714285,22,13.0,2.0,25.0,0.0,0.2855245683930943,0.02158034528552457,0.07575757575757572,1.9230769230769231,0.0,0.15384615384615385,False,False,True,False,False
Ryan Whalen,Stanford,167.0,2010.0,41.0,439.0,2.0,0.0,0.0,0.0,39.90909090909091,0.1818181818181818,3.727272727272727,-31.32167832167832,-0.657342657342658,-0.1258741258741259,0.3076923076923077,4.384615384615385,71.23076923076923,22,4.0,4.0,27.0,0.0,0.15426784271005375,0.014407702849913905,0.07272727272727272,6.75,0.0,1.0,True,False,False,False,False
Dwayne Harris,East Carolina,176.0,2010.0,101.0,1123.0,10.0,16.0,104.0,0.0,86.38461538461539,0.7692307692307693,7.769230769230769,16.527472527472526,1.8406593406593403,0.2692307692307693,0.5,5.928571428571429,69.85714285714286,23,16.0,17.0,222.0,1.0,0.27105307619898145,0.024377881296613647,0.25641025641025644,13.875,0.0625,1.0625,False,False,False,True,False
Aldrick Robinson,SMU,178.0,2010.0,65.0,1301.0,14.0,0.0,0.0,0.0,92.92857142857144,1.0,4.642857142857143,31.39010989010989,1.0274725274725278,0.6153846153846154,0.3846153846153846,3.615384615384616,61.53846153846154,22,15.0,11.0,237.0,3.0,0.3369418833523257,0.01683414482544287,0.45454545454545453,15.8,0.2,0.7333333333333333,True,False,False,False,False
David Ausberry,USC,241.0,2010.0,20.0,252.0,4.0,2.0,14.0,0.0,19.384615384615383,0.3076923076923077,1.5384615384615383,1.8131868131868103,-0.1758241758241756,0.3076923076923077,0.0,1.7142857142857142,17.571428571428573,23,12.0,2.0,14.0,0.0,0.08003557136505113,0.006352029473416757,0.13986013986013987,1.1666666666666667,0.0,0.16666666666666666,False,False,True,False,False
DeMarco Sampson,San Diego St.,249.0,2010.0,67.0,1220.0,8.0,4.0,11.0,0.0,93.84615384615384,0.6153846153846154,5.153846153846154,22.929487179487168,-0.0128205128205127,-0.0512820512820512,0.6666666666666666,5.166666666666667,70.91666666666667,25,12.0,3.0,36.0,0.0,0.31769178688609967,0.017447007968334986,0.27972027972027974,3.0,0.0,0.25,False,False,False,True,False
Justin Blackmon,Oklahoma St.,5.0,2011.0,122.0,1522.0,18.0,4.0,7.0,0.0,117.07692307692308,1.3846153846153846,9.384615384615383,-31.42307692307692,0.134615384615385,-0.2820512820512821,1.6666666666666667,9.25,148.5,22,16.0,64.0,865.0,5.0,0.30236808645899554,0.02423712650985378,0.4466501240694789,54.0625,0.3125,4.0,False,True,False,False,False
Michael Floyd,Notre Dame,13.0,2011.0,100.0,1147.0,9.0,2.0,13.0,1.0,88.23076923076923,0.6923076923076923,7.6923076923076925,2.814102564102555,1.1089743589743597,-0.3076923076923077,1.0,6.583333333333333,85.41666666666667,22,16.0,45.0,562.0,2.0,0.3492904561788172,0.030452524514282237,0.43269230769230765,35.125,0.125,2.8125,False,False,False,True,False
Kendall Wright,Baylor,20.0,2011.0,108.0,1663.0,14.0,10.0,72.0,0.0,127.92307692307692,1.0769230769230769,8.307692307692308,54.69230769230769,2.3076923076923084,0.5384615384615384,0.5384615384615384,6.0,73.23076923076923,22,15.0,64.0,626.0,4.0,0.36393478498741655,0.02363497100339206,0.347394540942928,41.733333333333334,0.26666666666666666,4.266666666666667,False,True,False,False,False
A.J. Jenkins,Illinois,30.0,2011.0,90.0,1276.0,8.0,5.0,26.0,0.0,98.15384615384616,0.6153846153846154,6.923076923076923,40.76923076923077,2.615384615384616,0.0769230769230769,0.5384615384615384,4.307692307692308,57.38461538461539,22,3.0,0.0,0.0,0.0,0.5334448160535118,0.03762541806020067,0.5594405594405595,0.0,0.0,0.0,False,False,True,False,False
Stephen Hill,Georgia Tech,43.0,2011.0,28.0,820.0,5.0,4.0,29.0,0.0,63.07692307692308,0.3846153846153846,2.1538461538461537,38.82692307692308,0.9038461538461536,0.1346153846153846,0.25,1.25,24.25,21,11.0,21.0,252.0,3.0,0.4432672036326288,0.015135953294772688,0.4807692307692307,22.90909090909091,0.2727272727272727,1.9090909090909092,True,False,False,False,False
Alshon Jeffery,South Carolina,45.0,2011.0,49.0,762.0,8.0,0.0,0.0,0.0,58.61538461538461,0.6153846153846154,3.769230769230769,-49.74175824175825,-2.5164835164835164,-0.0274725274725274,0.6428571428571429,6.285714285714286,108.35714285714286,22,10.0,24.0,367.0,3.0,0.322949777495232,0.020767111676202585,0.4102564102564103,36.7,0.3,2.4,False,False,False,False,True
Ryan Broyles,Oklahoma,54.0,2011.0,83.0,1157.0,10.0,1.0,3.0,0.0,128.55555555555554,1.1111111111111112,9.22222222222222,12.698412698412682,-0.1349206349206362,0.1111111111111111,1.0,9.357142857142858,115.85714285714286,24,10.0,22.0,310.0,2.0,0.36793232843604906,0.02639445398460853,0.5050505050505051,31.0,0.2,2.2,False,False,False,False,True
Rueben Randle,LSU,63.0,2011.0,53.0,917.0,8.0,0.0,0.0,0.0,65.5,0.5714285714285714,3.7857142857142856,23.653846153846157,1.2472527472527473,0.3406593406593406,0.2307692307692307,2.5384615384615383,41.84615384615385,21,16.0,19.0,298.0,3.0,0.42950819672131146,0.024824355971896955,0.38095238095238093,18.625,0.1875,1.1875,False,False,False,False,True
DeVier Posey,Ohio St.,68.0,2011.0,12.0,162.0,2.0,1.0,-6.0,0.0,40.5,0.5,3.0,-24.730769230769223,-1.0769230769230766,-0.0384615384615384,0.5384615384615384,4.076923076923077,65.23076923076923,22,11.0,6.0,87.0,0.0,0.3188976377952756,0.023622047244094488,0.35714285714285715,7.909090909090909,0.0,0.5454545454545454,False,False,False,True,False
T.J. Graham,North Carolina St.,69.0,2011.0,46.0,757.0,7.0,2.0,-5.0,0.0,58.23076923076923,0.5384615384615384,3.5384615384615383,33.92307692307693,1.6153846153846152,0.2307692307692307,0.3076923076923077,1.9230769230769231,24.307692307692307,23,15.0,31.0,322.0,1.0,0.24262820512820513,0.014743589743589743,0.21538461538461537,21.466666666666665,0.06666666666666667,2.066666666666667,False,False,False,True,False
Mohamed Sanu,Rutgers,83.0,2011.0,115.0,1206.0,7.0,4.0,-2.0,0.0,92.76923076923076,0.5384615384615384,8.846153846153847,57.93589743589744,5.179487179487181,0.3717948717948718,0.1666666666666666,3.6666666666666665,34.833333333333336,23,9.0,16.0,154.0,4.0,0.3846153846153846,0.03667559637708892,0.3365384615384615,17.11111111111111,0.4444444444444444,1.7777777777777777,False,False,True,False,False
T.Y. Hilton,Florida International,92.0,2011.0,72.0,1038.0,7.0,19.0,124.0,1.0,79.84615384615384,0.5384615384615384,5.538461538461538,14.615384615384611,1.0,0.1538461538461538,0.3846153846153846,4.538461538461538,65.23076923076923,22,15.0,50.0,861.0,7.0,0.37155027383040407,0.025772273329276587,0.44871794871794873,57.4,0.4666666666666667,3.3333333333333335,False,False,False,True,False
Chris Givens,Wake Forest,96.0,2011.0,83.0,1330.0,9.0,14.0,77.0,0.0,102.3076923076923,0.6923076923076923,6.384615384615385,55.58041958041958,3.202797202797204,0.3286713286713286,0.3636363636363636,3.1818181818181817,46.72727272727273,22,15.0,42.0,698.0,3.0,0.40405881638109126,0.02521570057115081,0.4072398190045249,46.53333333333333,0.2,2.8,True,False,False,False,False
Travis Benjamin,Miami (FL),100.0,2011.0,41.0,609.0,3.0,8.0,19.0,0.0,55.36363636363637,0.2727272727272727,3.727272727272727,-1.7902097902097864,0.4195804195804196,0.0419580419580419,0.2307692307692307,3.3076923076923075,57.15384615384615,22,14.0,18.0,298.0,2.0,0.23853354745211705,0.01605890877756453,0.1515151515151515,21.285714285714285,0.14285714285714285,1.2857142857142858,True,False,False,False,False
Devon Wylie,Fresno St.,107.0,2011.0,56.0,716.0,1.0,8.0,48.0,0.0,55.07692307692308,0.0769230769230769,4.307692307692308,16.07692307692308,2.3076923076923075,-0.9230769230769232,1.0,2.0,39.0,24,6.0,6.0,53.0,0.0,0.20204300468423725,0.015802246176420794,0.03846153846153845,8.833333333333334,0.0,1.0,False,False,False,True,False
Jarius Wright,Arkansas,118.0,2011.0,66.0,1117.0,12.0,0.0,0.0,0.0,93.08333333333331,1.0,5.5,32.467948717948715,2.269230769230769,0.6153846153846154,0.3846153846153846,3.230769230769231,60.61538461538461,22,7.0,22.0,310.0,2.0,0.3095554816539186,0.018290655138011307,0.5,44.285714285714285,0.2857142857142857,3.142857142857143,False,False,False,False,True
Keshawn Martin,Michigan St.,121.0,2011.0,66.0,777.0,4.0,19.0,113.0,2.0,55.5,0.2857142857142857,4.714285714285714,19.68181818181818,1.8051948051948048,0.1948051948051948,0.0909090909090909,2.909090909090909,35.81818181818182,22,16.0,10.0,85.0,1.0,0.2198019801980198,0.01867043847241867,0.15037593984962405,5.3125,0.0625,0.625,False,False,True,False,False
Nick Toon,Wisconsin,122.0,2011.0,64.0,926.0,10.0,0.0,0.0,0.0,71.23076923076923,0.7692307692307693,4.923076923076923,20.230769230769223,0.9230769230769234,0.4358974358974359,0.3333333333333333,4.0,51.0,23,8.0,4.0,68.0,0.0,0.30401523359269833,0.02101185199776749,0.32051282051282054,8.5,0.0,0.5,False,False,False,True,False
Marvin Jones,California,166.0,2011.0,62.0,846.0,3.0,5.0,22.0,0.0,65.07692307692308,0.2307692307692307,4.769230769230769,1.3269230769230802,0.6025641025641022,-0.1025641025641025,0.3333333333333333,4.166666666666667,63.75,22,11.0,18.0,201.0,1.0,0.2638966872543515,0.019339946347245618,0.17751479289940822,18.272727272727273,0.09090909090909091,1.6363636363636365,False,False,False,True,False
Juron Criner,Arizona,168.0,2011.0,75.0,956.0,11.0,1.0,0.0,0.0,86.9090909090909,1.0,6.818181818181818,-7.937062937062933,0.5104895104895109,0.1538461538461538,0.8461538461538461,6.307692307692308,94.84615384615384,22,12.0,16.0,151.0,1.0,0.23438266156712756,0.01838776110620771,0.4166666666666667,12.583333333333334,0.08333333333333333,1.3333333333333333,False,True,False,False,False
