name,age,position,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
Cobi Hamilton,22,WR,0.0,0.0,0.0,0.0
Brice Butler,23,WR,10.0,9.0,103.0,0.0
Charles Johnson,24,WR,12.0,31.0,475.0,2.0
Kevin Dorsey,23,WR,3.0,1.0,4.0,0.0
Marquess Wilson,20,WR,10.0,2.0,13.0,0.0
Aaron Mellette,23,WR,,,,
Sammy Watkins,21,WR,16.0,65.0,982.0,6.0
Mike Evans,21,WR,15.0,68.0,1051.0,12.0
Odell Beckham Jr.,21,WR,12.0,91.0,1305.0,12.0
Brandin Cooks,20,WR,10.0,53.0,550.0,3.0
Kelvin Benjamin,23,WR,16.0,73.0,1008.0,9.0
Marqise Lee,22,WR,13.0,37.0,422.0,1.0
Jordan Matthews,22,WR,16.0,67.0,872.0,8.0
Paul Richardson,22,WR,15.0,29.0,271.0,1.0
Davante Adams,21,WR,16.0,38.0,446.0,3.0
Cody Latimer,21,WR,8.0,2.0,23.0,0.0
Allen Robinson,21,WR,10.0,48.0,548.0,2.0
Jarvis Landry,21,WR,16.0,84.0,758.0,5.0
Josh Huff,22,WR,12.0,8.0,98.0,0.0
Donte Moncrief,21,WR,16.0,32.0,444.0,3.0
John Brown,24,WR,16.0,48.0,696.0,5.0
Dri Archer,23,WR,,,,
Jalen Saunders,21,WR,15.0,1.0,7.0,0.0
Bruce Ellington,23,WR,13.0,6.0,62.0,2.0
Shaquelle Evans,23,WR,,,,
Martavis Bryant,22,WR,10.0,26.0,549.0,8.0
Kevin Norwood,24,WR,9.0,9.0,102.0,0.0
Ryan Grant,23,WR,16.0,7.0,68.0,0.0
Devin Street,23,WR,16.0,2.0,18.0,0.0
Jared Abbrederis,23,WR,10.0,9.0,111.0,0.0
Robert Herron,22,WR,8.0,6.0,58.0,1.0
T.J. Jones,22,WR,10.0,10.0,132.0,1.0
Matt Hazel,22,WR,5.0,0.0,0.0,0.0
Walt Powell,22,WR,4.0,0.0,0.0,0.0
Quincy Enunwa,22,WR,1.0,0.0,0.0,0.0
Michael Campanaro,23,WR,4.0,7.0,102.0,1.0
Jeff Janis,23,WR,3.0,2.0,16.0,0.0
James Wright,22,WR,11.0,5.0,91.0,0.0
Tevin Reese,23,WR,,,,
Jeremy Gallon,24,WR,,,,
