name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,pass_yds_pg,pass_tds_pg,pass_int_pg,rush_yds_pg,rush_tds_pg,completion_pct,pass_rating,yards_per_attempt,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_passingYDS,nfl_passingTDS,nfl_passingINT,nfl_rushingYDS,nfl_rushingTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
Sam Ehlinger,QB,Texas,22,218,2020.0,10,SEC,0,0,0,0,1,256.6,2.6,0.5,37.7,0.8,60.2,150.7,7.968944099378882,32.2,2943,34.0,294.3,3.4,9.13975155279503,-38.46923076923076,0.3999999999999999,5.389071729816501,0.06772854614785964,,,,,,,0.0,1,0,0,0
Sam Howell,QB,North Carolina,21,144,2021.0,12,ACC,1,0,0,0,0,254.66666666666666,2.0,0.75,69.0,0.9166666666666666,62.5,154.2,8.806916426512968,28.916666666666668,3884,35.0,323.6666666666667,2.9166666666666665,11.193083573487032,12.666666666666686,0.0,4.976733742420574,0.08333333333333333,1.0,169.0,1.0,1.0,35.0,1.0,18.259999999999998,1,0,0,0
Sean Clifford,QB,Penn St.,25,149,2022.0,13,Big Ten,0,0,1,0,0,217.07692307692307,1.8461538461538463,0.5384615384615384,13.538461538461538,0.38461538461538464,64.4,150.5,8.03988603988604,27.0,2998,29.0,230.6153846153846,2.230769230769231,8.54131054131054,-20.923076923076934,0.4615384615384617,5.0106352940962555,0.08192319205190406,2.0,37.0,0.0,0.0,-2.0,0.0,1.28,1,0,0,0
Sean Mannion,QB,Oregon St.,23,89,2014.0,12,Other,0,0,0,1,0,263.6666666666667,1.25,0.6666666666666666,-25.5,0.08333333333333333,62.3,128.3,6.984547461368654,37.75,2858,16.0,238.16666666666666,1.3333333333333333,6.309050772626931,-103.2948717948718,-1.512820512820513,4.499809670330265,0.105999788000636,1.0,31.0,0.0,0.0,-1.0,0.0,1.14,1,0,0,0
Skylar Thompson,QB,Kansas St.,25,247,2021.0,10,Big 12,0,1,0,0,0,211.3,1.2,0.4,0.4,0.4,69.5,159.3,9.068669527896995,23.3,2117,16.0,211.7,1.6,9.085836909871244,-9.633333333333354,-0.7333333333333334,5.5134287461649825,0.06362847629757777,7.0,534.0,1.0,3.0,21.0,0.0,21.46,1,0,0,0
Spencer Rattler,QB,South Carolina,23,150,2023.0,12,SEC,0,0,0,0,1,265.5,1.5833333333333333,0.6666666666666666,8.666666666666666,0.3333333333333333,68.9,147.7,7.984962406015038,33.25,3290,23.0,274.1666666666667,1.9166666666666667,8.24561403508772,37.858974358974365,0.3012820512820513,5.017279836814924,0.08164965809277261,7.0,1317.0,4.0,5.0,146.0,0.0,73.28,1,0,0,0
Stetson Bennett,QB,Georgia,25,128,2022.0,15,SEC,0,0,0,0,1,275.2,1.8,0.4666666666666667,13.666666666666666,0.6666666666666666,68.3,161.2,9.092511013215859,30.266666666666666,4333,37.0,288.8666666666667,2.466666666666667,9.544052863436123,65.93809523809526,0.323809523809524,4.859812404361672,0.08838834764831843,,,,,,,0.0,1,0,0,0
Tanner Lee,QB,Nebraska,23,203,2017.0,12,Big Ten,0,0,1,0,0,261.9166666666667,1.9166666666666667,1.3333333333333333,-8.083333333333334,0.16666666666666666,57.5,129.4,7.343457943925234,35.666666666666664,3046,25.0,253.83333333333334,2.0833333333333335,7.116822429906542,89.72222222222223,0.8611111111111112,5.318119993844216,0.07018624063435965,,,,,,,0.0,1,0,0,0
Tanner McKee,QB,Stanford,23,188,2022.0,12,Other,0,0,0,1,0,245.58333333333334,1.0833333333333333,0.6666666666666666,-7.5,0.16666666666666666,62.0,126.4,6.917840375586854,35.5,2857,15.0,238.08333333333334,1.25,6.706572769953052,5.383333333333354,-0.6499999999999999,5.241747015059643,0.07293249574894728,2.0,323.0,4.0,0.0,-1.0,0.0,28.82,1,0,0,0
Tommy Stevens,QB,Mississippi St.,23,240,2019.0,9,SEC,0,0,0,0,1,128.33333333333334,1.2222222222222223,0.5555555555555556,42.333333333333336,0.4444444444444444,60.2,136.8,7.173913043478261,17.88888888888889,1536,15.0,170.66666666666666,1.6666666666666667,9.540372670807452,138.09523809523807,1.2380952380952381,5.484796933490655,0.06454972243679027,,,,,,,0.0,1,0,0,0
Trace McSorley,QB,Penn St.,24,197,2018.0,13,Big Ten,0,0,1,0,0,194.6153846153846,1.3846153846153846,0.5384615384615384,61.38461538461539,0.9230769230769231,53.2,124.6,7.008310249307479,27.76923076923077,3328,30.0,256.0,2.3076923076923075,9.218836565096952,-56.38461538461536,-0.6923076923076925,5.288267030694535,0.07124704998790965,,,,,,,0.0,1,0,0,0
Trevor Lawrence,QB,Clemson,21,1,2020.0,10,ACC,1,0,0,0,0,315.3,2.4,0.5,20.3,0.8,69.2,169.2,9.440119760479043,33.4,3356,32.0,335.6,3.2,10.047904191616768,53.73333333333335,0.20000000000000018,0.6931471805599453,1.0,17.0,3641.0,12.0,17.0,334.0,2.0,205.04000000000002,1,0,0,0
Trevor Siemian,QB,Northwestern,23,250,2014.0,11,Big Ten,0,0,1,0,0,201.27272727272728,0.6363636363636364,1.0,-11.181818181818182,0.45454545454545453,58.2,105.9,5.6479591836734695,35.63636363636363,2091,12.0,190.0909090909091,1.0909090909090908,5.334183673469388,8.25757575757575,0.1742424242424242,5.5254529391317835,0.06324555320336758,,,,,,,0.0,1,0,0,0
Tua Tagovailoa,QB,Alabama,22,5,2019.0,9,SEC,0,0,0,0,1,315.55555555555554,3.6666666666666665,0.3333333333333333,1.8888888888888888,0.2222222222222222,71.4,206.9,11.26984126984127,28.0,2857,35.0,317.44444444444446,3.888888888888889,11.337301587301589,40.377777777777794,0.6888888888888887,1.791759469228055,0.4472135954999579,10.0,1814.0,11.0,5.0,109.0,3.0,135.46,1,0,0,0
Will Grier,QB,West Virginia,24,100,2018.0,11,Big 12,0,1,0,0,0,351.27272727272725,3.3636363636363638,0.7272727272727273,-8.181818181818182,0.2727272727272727,67.0,175.5,9.732997481108312,36.09090909090909,3774,40.0,343.09090909090907,3.6363636363636362,9.506297229219143,14.727272727272691,0.3636363636363633,4.61512051684126,0.1,2.0,228.0,0.0,4.0,22.0,0.0,3.320000000000001,1,0,0,0
Will Levis,QB,Kentucky,24,33,2022.0,11,SEC,0,0,0,0,1,218.72727272727272,1.7272727272727273,0.9090909090909091,-9.727272727272727,0.18181818181818182,65.4,151.9,8.501766784452297,25.727272727272727,2299,21.0,209.0,1.9090909090909092,8.123674911660778,-37.38461538461539,-0.6293706293706292,3.5263605246161616,0.17407765595569785,9.0,1808.0,8.0,4.0,57.0,1.0,108.02000000000001,1,0,0,0
Zach Wilson,QB,BYU,22,2,2020.0,12,Big 12,0,1,0,0,0,307.6666666666667,2.75,0.25,21.166666666666668,0.8333333333333334,73.5,196.4,10.988095238095237,28.0,3946,43.0,328.8333333333333,3.5833333333333335,11.744047619047619,45.611111111111086,2.0277777777777777,1.0986122886681098,0.7071067811865475,13.0,2334.0,9.0,11.0,185.0,4.0,149.86,1,0,0,0
