name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rush_att_pg,rush_yds_pg,rush_tds_pg,rec_pg,rec_yds_pg,rec_tds_pg,rush_yards_per_att,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_rushingYDS,nfl_rushingTDS,nfl_recs,nfl_recYDS,nfl_recTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
Bijan Robinson,RB,Texas,21,8.0,2022.0,12.0,SEC,0,0,0,0,1,21.5,131.66666666666666,1.5,1.5833333333333333,26.166666666666668,0.16666666666666666,6.124031007751938,23.083333333333332,1894.0,20.0,157.83333333333334,1.6666666666666667,6.837545126353791,15.633333333333354,0.16666666666666674,2.1972245773362196,0.35355339059327373,17.0,976.0,4.0,58.0,487.0,4.0,252.3,0,1,0,0
Blake Corum,RB,Michigan,23,83.0,2023.0,15.0,Big Ten,0,0,1,0,0,17.2,83.0,1.8,1.0666666666666667,7.8,0.06666666666666667,4.825581395348837,18.266666666666666,1362.0,28.0,90.8,1.8666666666666667,4.97080291970803,-37.783333333333346,0.28333333333333344,4.430816798843313,0.10976425998969035,17.0,207.0,0.0,7.0,58.0,0.0,33.5,0,1,0,0
Bo Scarbrough,RB,Alabama,23,236.0,2017.0,14.0,SEC,0,0,0,0,1,8.857142857142858,42.57142857142857,0.5714285714285714,1.2142857142857142,7.785714285714286,0.0,4.806451612903226,10.071428571428571,705.0,8.0,50.357142857142854,0.5714285714285714,5.0,-13.796703296703306,-0.27472527472527475,5.4680601411351315,0.06509445549041194,6.0,377.0,1.0,1.0,5.0,0.0,45.2,0,1,0,0
Boston Scott,RB,Louisiana Tech,23,201.0,2017.0,13.0,Other,0,0,0,1,0,14.0,80.0,0.6153846153846154,1.5384615384615385,13.923076923076923,0.07692307692307693,5.714285714285714,15.538461538461538,1221.0,9.0,93.92307692307692,0.6923076923076923,6.044554455445545,48.208791208791204,0.26373626373626374,5.308267697401205,0.07053456158585983,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
Braelon Allen,RB,Wisconsin,20,134.0,2023.0,11.0,Big Ten,0,0,1,0,0,16.454545454545453,89.45454545454545,1.0909090909090908,2.5454545454545454,12.0,0.0,5.43646408839779,19.0,1116.0,12.0,101.45454545454545,1.0909090909090908,5.339712918660287,-10.712121212121218,0.1742424242424242,4.90527477843843,0.08638684255813601,17.0,334.0,2.0,19.0,148.0,1.0,85.2,0,1,0,0
Brandon Wilson,RB,Houston,23,207.0,2016.0,10.0,Big 12,0,1,0,0,0,0.4,0.6,0.0,0.5,5.2,0.0,1.5,0.9,58.0,0.0,5.8,0.0,6.444444444444445,-11.128571428571426,-0.14285714285714285,5.337538079701318,0.06950480468569159,,,,,,,0.0,0,1,0,0
Breece Hall,RB,Iowa St.,21,36.0,2021.0,12.0,Big 12,0,1,0,0,0,21.083333333333332,122.0,1.6666666666666667,3.0,25.166666666666668,0.25,5.786561264822135,24.083333333333332,1766.0,23.0,147.16666666666666,1.9166666666666667,6.110726643598617,1.1666666666666572,0.0,3.6109179126442243,0.16666666666666666,7.0,463.0,4.0,19.0,218.0,1.0,117.10000000000001,0,1,0,0
Brian Hill,RB,Wyoming,21,156.0,2016.0,14.0,Other,0,0,0,1,0,24.928571428571427,132.85714285714286,1.5714285714285714,0.5714285714285714,4.785714285714286,0.0,5.329512893982808,25.5,1927.0,22.0,137.64285714285714,1.5714285714285714,5.397759103641456,-9.273809523809518,1.0714285714285714,5.056245805348308,0.08006407690254357,7.0,37.0,0.0,2.0,36.0,0.0,9.3,0,1,0,0
Brian Robinson Jr.,RB,Alabama,23,98.0,2021.0,14.0,SEC,0,0,0,0,1,19.357142857142858,95.92857142857143,1.0,2.5,21.142857142857142,0.14285714285714285,4.955719557195572,21.857142857142858,1639.0,16.0,117.07142857142857,1.1428571428571428,5.356209150326797,77.91758241758242,0.6813186813186812,4.59511985013459,0.10101525445522107,12.0,797.0,2.0,9.0,60.0,1.0,112.7,0,1,0,0
Brittain Brown,RB,UCLA,24,250.0,2021.0,10.0,Big Ten,0,0,1,0,0,10.2,61.5,0.7,1.8,12.9,0.0,6.029411764705882,12.0,744.0,7.0,74.4,0.7,6.2,-15.171428571428564,-0.014285714285714346,5.5254529391317835,0.06324555320336758,,,,,,,0.0,0,1,0,0
Bryce Love,RB,Stanford,22,112.0,2018.0,10.0,Other,0,0,0,1,0,16.6,73.9,0.6,2.0,9.9,0.0,4.451807228915663,18.6,838.0,6.0,83.8,0.6,4.505376344086021,-81.66153846153846,-0.8615384615384615,4.727387818712341,0.0944911182523068,,,,,,,0.0,0,1,0,0
Bucky Irving,RB,Oregon,22,125.0,2023.0,14.0,Big Ten,0,0,1,0,0,13.285714285714286,84.28571428571429,0.7857142857142857,4.0,29.5,0.14285714285714285,6.344086021505376,17.285714285714285,1593.0,13.0,113.78571428571429,0.9285714285714286,6.582644628099174,9.401098901098905,0.3131868131868132,4.836281906951478,0.08944271909999159,17.0,1122.0,8.0,47.0,392.0,0.0,246.39999999999998,0,1,0,0
C.J. Prosise,RB,Notre Dame,22,90.0,2015.0,11.0,Other,0,0,0,1,0,14.181818181818182,93.81818181818181,1.0,2.3636363636363638,28.0,0.09090909090909091,6.615384615384615,16.545454545454547,1340.0,12.0,121.81818181818181,1.0909090909090908,7.362637362637361,72.43356643356643,0.86013986013986,4.51085950651685,0.10540925533894598,6.0,172.0,1.0,17.0,208.0,0.0,61.0,0,1,0,0
Cam Akers,RB,Florida St.,21,52.0,2019.0,11.0,ACC,1,0,0,0,0,21.0,104.0,1.2727272727272727,2.727272727272727,20.454545454545453,0.36363636363636365,4.9523809523809526,23.727272727272727,1369.0,18.0,124.45454545454545,1.6363636363636365,5.245210727969349,53.53787878787878,0.9696969696969698,3.970291913552122,0.1386750490563073,13.0,625.0,2.0,11.0,123.0,1.0,103.8,0,1,0,0
Cameron Artis-Payne,RB,Auburn,25,174.0,2014.0,13.0,SEC,0,0,0,0,1,23.307692307692307,123.6923076923077,1.0,1.0,11.307692307692308,0.0,5.306930693069307,24.307692307692307,1755.0,13.0,135.0,1.0,5.553797468354431,87.76923076923077,0.5384615384615384,5.1647859739235145,0.07580980435789034,7.0,183.0,1.0,5.0,58.0,0.0,35.1,0,1,0,0
Chandler Cox,RB,Auburn,23,233.0,2018.0,13.0,SEC,0,0,0,0,1,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.8461538461538461,7.153846153846154,0.07692307692307693,1.0,1.0769230769230769,96.0,3.0,7.384615384615385,0.23076923076923078,6.857142857142858,1.8131868131868139,0.23076923076923078,5.455321115357702,0.06551217820804184,,,,,,,0.0,0,1,0,0
Chase Brown,RB,Illinois,23,163.0,2022.0,12.0,Big Ten,0,0,1,0,0,27.333333333333332,136.91666666666666,0.8333333333333334,2.25,20.0,0.25,5.009146341463414,29.583333333333332,1883.0,13.0,156.91666666666666,1.0833333333333333,5.3042253521126765,42.216666666666654,0.5833333333333333,5.099866427824199,0.07832604499879574,12.0,179.0,0.0,14.0,156.0,1.0,53.5,0,1,0,0
Chase Edmonds,RB,Fordham,22,134.0,2017.0,13.0,Other,0,0,0,1,0,0.0,0.0,0.0,5.0,83.23076923076923,0.7692307692307693,,5.0,1082.0,10.0,83.23076923076923,0.7692307692307693,16.646153846153847,-1.1025641025641022,0.019230769230769273,4.90527477843843,0.08638684255813601,16.0,208.0,2.0,20.0,103.0,0.0,63.099999999999994,0,1,0,0
Chris Carson,RB,Oklahoma St.,22,249.0,2016.0,9.0,Big 12,0,1,0,0,0,9.11111111111111,62.111111111111114,1.0,1.4444444444444444,14.222222222222221,0.1111111111111111,6.817073170731708,10.555555555555555,687.0,10.0,76.33333333333333,1.1111111111111112,7.231578947368421,19.08333333333333,0.7777777777777779,5.521460917862246,0.06337242505244779,4.0,208.0,0.0,7.0,59.0,1.0,39.7,0,1,0,0
Chris Evans,RB,Michigan,23,202.0,2020.0,6.0,Big Ten,0,0,1,0,0,2.6666666666666665,12.166666666666666,0.16666666666666666,1.5,14.5,0.0,4.5625,4.166666666666667,160.0,1.0,26.666666666666668,0.16666666666666666,6.3999999999999995,-25.24242424242424,-0.28787878787878785,5.313205979041787,0.07035975447302918,14.0,77.0,0.0,15.0,151.0,2.0,49.8,0,1,0,0
Chris Rodriguez,RB,Kentucky,22,193.0,2022.0,8.0,SEC,0,0,0,0,1,21.875,113.0,0.75,0.625,5.125,0.0,5.1657142857142855,22.5,945.0,6.0,118.125,0.75,5.25,7.355769230769226,-0.17307692307692313,5.267858159063328,0.07198157507486945,13.0,247.0,2.0,2.0,12.0,0.0,39.900000000000006,0,1,0,0
Christian McCaffrey,RB,Stanford,21,8.0,2016.0,11.0,Other,0,0,0,1,0,23.0,145.72727272727272,1.1818181818181819,3.3636363636363638,28.181818181818183,0.2727272727272727,6.335968379446641,26.363636363636363,1913.0,16.0,173.9090909090909,1.4545454545454546,6.596551724137931,-16.37662337662337,0.525974025974026,2.1972245773362196,0.35355339059327373,16.0,435.0,2.0,80.0,651.0,5.0,230.60000000000002,0,1,0,0
Chuba Hubbard,RB,Oklahoma St.,22,126.0,2020.0,7.0,Big 12,0,1,0,0,0,19.0,89.28571428571429,0.7142857142857143,1.1428571428571428,7.428571428571429,0.14285714285714285,4.6992481203007515,20.142857142857142,677.0,6.0,96.71428571428571,0.8571428571428571,4.801418439716312,-79.59340659340661,-0.7582417582417583,4.844187086458591,0.0890870806374748,17.0,612.0,5.0,25.0,174.0,1.0,139.6,0,1,0,0
Clyde Edwards-Helaire,RB,LSU,21,32.0,2019.0,15.0,SEC,0,0,0,0,1,14.333333333333334,94.26666666666667,1.0666666666666667,3.6666666666666665,30.2,0.06666666666666667,6.576744186046511,18.0,1867.0,17.0,124.46666666666667,1.1333333333333333,6.914814814814815,66.46666666666667,0.5948717948717949,3.4965075614664802,0.17677669529663687,13.0,803.0,4.0,36.0,297.0,1.0,176.0,0,1,0,0
Cullen Gillaspia,RB,Texas A&M,24,220.0,2018.0,13.0,SEC,0,0,0,0,1,0.38461538461538464,2.5384615384615383,0.07692307692307693,0.38461538461538464,4.0,0.0,6.6,0.7692307692307693,85.0,1.0,6.538461538461538,0.07692307692307693,8.5,6.538461538461538,0.07692307692307693,5.3981627015177525,0.06741998624632421,,,,,,,0.0,0,1,0,0
D'Andre Swift,RB,Georgia,21,35.0,2019.0,14.0,SEC,0,0,0,0,1,14.0,87.0,0.5,1.7142857142857142,15.428571428571429,0.07142857142857142,6.214285714285714,15.714285714285714,1434.0,8.0,102.42857142857143,0.5714285714285714,6.5181818181818185,6.285714285714292,-0.3571428571428572,3.58351893845611,0.1690308509457033,13.0,521.0,8.0,46.0,357.0,2.0,193.8,0,1,0,0
D'Onta Foreman,RB,Texas,21,89.0,2016.0,11.0,SEC,0,0,0,0,1,29.363636363636363,184.36363636363637,1.3636363636363635,0.6363636363636364,6.818181818181818,0.0,6.2786377708978325,30.0,2103.0,15.0,191.1818181818182,1.3636363636363635,6.372727272727272,116.68181818181819,0.8636363636363635,4.499809670330265,0.105999788000636,10.0,327.0,2.0,6.0,83.0,0.0,59.0,0,1,0,0
Dalvin Cook,RB,Florida St.,22,41.0,2016.0,13.0,ACC,1,0,0,0,0,22.153846153846153,135.76923076923077,1.4615384615384615,2.5384615384615383,37.53846153846154,0.07692307692307693,6.128472222222222,24.692307692307693,2253.0,20.0,173.30769230769232,1.5384615384615385,7.018691588785046,12.05769230769232,-0.1282051282051282,3.7376696182833684,0.15617376188860607,4.0,354.0,2.0,11.0,90.0,0.0,67.4,0,1,0,0
Dameon Pierce,RB,Florida,22,107.0,2021.0,13.0,SEC,0,0,0,0,1,7.6923076923076925,44.15384615384615,1.0,1.4615384615384615,16.615384615384617,0.23076923076923078,5.74,9.153846153846153,790.0,16.0,60.76923076923077,1.2307692307692308,6.6386554621848735,5.852564102564102,0.8141025641025641,4.68213122712422,0.09667364890456635,13.0,939.0,4.0,30.0,165.0,1.0,170.4,0,1,0,0
Damien Harris,RB,Alabama,22,87.0,2018.0,15.0,SEC,0,0,0,0,1,10.0,58.4,0.6,1.4666666666666666,13.6,0.0,5.84,11.466666666666667,1080.0,9.0,72.0,0.6,6.27906976744186,-5.928571428571431,-0.18571428571428572,4.477336814478207,0.10721125348377948,2.0,12.0,0.0,0.0,0.0,0.0,1.2000000000000002,0,1,0,0
Daniel Lasco,RB,California,23,237.0,2015.0,10.0,Other,0,0,0,1,0,6.5,33.1,0.3,0.4,2.4,0.0,5.092307692307692,6.9,355.0,3.0,35.5,0.3,5.144927536231884,-87.08333333333333,-0.8666666666666667,5.472270673671475,0.06495698024616309,7.0,32.0,0.0,2.0,11.0,0.0,6.300000000000001,0,1,0,0
Darius Jackson,RB,Eastern Michigan,22,216.0,2015.0,12.0,Other,0,0,0,1,0,17.333333333333332,89.83333333333333,1.1666666666666667,1.75,16.75,0.16666666666666666,5.1826923076923075,19.083333333333332,1279.0,16.0,106.58333333333333,1.3333333333333333,5.585152838427948,69.66666666666666,1.0833333333333333,5.37989735354046,0.06804138174397717,4.0,16.0,0.0,0.0,0.0,0.0,1.6,0,1,0,0
