mae,rmse,r2,spearman,top10_overlap,position,target,model,family
736.0623696777822,865.5831255704315,0.41477353121585936,0.7773809523809525,1.0,QB,nfl_passingYDS,ridge,linear
759.5511472716951,887.7208894384787,0.3717086987353147,0.7773809523809525,1.0,QB,nfl_passingYDS,elastic_net,linear
816.0803344473666,1005.2939340228129,0.22450388650133812,0.4166666666666667,1.0,QB,nfl_passingYDS,random_forest,bagging_tree
818.1602662462557,1019.6653923920601,0.1919468214941354,0.46071428571428574,1.0,QB,nfl_passingYDS,extra_trees,bagging_tree
842.2264751014504,1057.8335139658832,0.0759359868356293,0.4761904761904762,1.0,QB,nfl_passingYDS,gradient_boosting,boosted_tree
857.3400200737847,1070.9917130951262,0.04848186356453521,0.5261904761904763,1.0,QB,nfl_passingYDS,xgboost_cuda,boosted_tree
901.8864203559028,1021.1715690256335,0.21433374996371507,0.4130952380952382,1.0,QB,nfl_passingYDS,mlp,neural_net
933.7288125658793,1115.7731785892872,0.022225878111056363,0.5511904761904762,1.0,QB,nfl_passingYDS,residual_mlp,neural_net
1215.9761904761904,1397.4773290949151,-0.38161169567749487,,1.0,QB,nfl_passingYDS,median,baseline
5.77916584100598,7.335598439134964,-0.17532362443779953,0.2027350982058767,1.0,QB,nfl_passingTDS,random_forest,bagging_tree
5.882088781072348,6.786253114891976,0.03711214666498197,0.7342551213384527,1.0,QB,nfl_passingTDS,ridge,linear
5.985153242033671,6.836289387301432,-0.018062813471133865,0.7804752407133337,1.0,QB,nfl_passingTDS,elastic_net,linear
6.230472211963811,7.74949770285431,-0.3785848588341704,0.3035764728730088,1.0,QB,nfl_passingTDS,extra_trees,bagging_tree
6.410461989660112,7.79449554837167,-0.4386173986490366,0.20273257605508666,1.0,QB,nfl_passingTDS,xgboost_cuda,boosted_tree
6.5001692984565285,8.053962049446536,-0.5475877866985024,0.18802995766199146,1.0,QB,nfl_passingTDS,gradient_boosting,boosted_tree
6.564277376447405,8.16856283816874,-0.6006776579801849,0.39706149404201313,1.0,QB,nfl_passingTDS,mlp,neural_net
7.206446602230979,8.423111620870946,-0.9022042283804409,0.2521046977432252,1.0,QB,nfl_passingTDS,residual_mlp,neural_net
7.579365079365079,8.917183751801627,-0.34067211822569266,,1.0,QB,nfl_passingTDS,median,baseline
2.8311380464553424,3.5706660657219023,-0.026438138937711186,0.4642289620995308,1.0,QB,nfl_passingINT,ridge,linear
2.899008930675567,3.5527056327047983,-0.028688462609701038,0.587272655288034,1.0,QB,nfl_passingINT,mlp,neural_net
2.954284491993132,3.398470098182006,0.09305545915680158,0.6483054251794114,1.0,QB,nfl_passingINT,residual_mlp,neural_net
2.998571504903155,3.7508391451312058,-0.1320709926315612,0.3671747727540128,1.0,QB,nfl_passingINT,elastic_net,linear
3.142542078381493,4.689640812370822,-0.9640785260610023,0.5999318973765797,1.0,QB,nfl_passingINT,xgboost_cuda,boosted_tree
3.2082449981646883,4.095636136232487,-0.3863316103143615,0.4421520718795393,1.0,QB,nfl_passingINT,extra_trees,bagging_tree
3.2258160058357843,4.200938440996932,-0.4941163775337632,0.4252730824281449,1.0,QB,nfl_passingINT,random_forest,bagging_tree
3.357018148988342,4.747918603173943,-0.9526867091114448,0.5671520718795393,1.0,QB,nfl_passingINT,gradient_boosting,boosted_tree
3.4563492063492065,4.025342184701654,-0.2738035244270399,,1.0,QB,nfl_passingINT,median,baseline
119.63780993507021,147.6905391439189,0.44060239196440293,0.8500000000000001,1.0,QB,nfl_rushingYDS,mlp,neural_net
123.8558836437407,152.4804816458123,0.4026169762096681,0.736904761904762,1.0,QB,nfl_rushingYDS,residual_mlp,neural_net
135.1497225320304,171.65310829943323,-0.036279892663383884,0.7761904761904763,1.0,QB,nfl_rushingYDS,ridge,linear
139.50693443893823,174.96167419192696,-0.3010501566067018,0.7761904761904763,1.0,QB,nfl_rushingYDS,elastic_net,linear
140.47756406995984,190.42763487719301,-0.6006766534480656,0.7916666666666667,1.0,QB,nfl_rushingYDS,xgboost_cuda,boosted_tree
142.9298201178353,180.80754625036852,-0.12697843179666873,0.8,1.0,QB,nfl_rushingYDS,extra_trees,bagging_tree
144.65604270306633,180.67011149138514,-0.18690883991045237,0.7916666666666667,1.0,QB,nfl_rushingYDS,random_forest,bagging_tree
147.57275903182054,197.9327966574827,-0.5929444885217292,0.7035714285714285,1.0,QB,nfl_rushingYDS,gradient_boosting,boosted_tree
189.484126984127,240.53154752890066,-0.50253362046664,,1.0,QB,nfl_rushingYDS,median,baseline
1.0417106542562897,1.4371606135985648,0.23646295302433612,0.5709147597949624,1.0,QB,nfl_rushingTDS,extra_trees,bagging_tree
1.049701208160037,1.317343994126664,0.36655714321745947,0.4963791605449695,1.0,QB,nfl_rushingTDS,residual_mlp,neural_net
1.112972501645102,1.4895317644185464,0.172357469932502,0.4963791605449695,1.0,QB,nfl_rushingTDS,random_forest,bagging_tree
1.1513865556981828,1.5988517959419746,0.054966196490934704,0.16321434205082877,1.0,QB,nfl_rushingTDS,mlp,neural_net
1.1739151173113918,1.6047012505430067,-0.03226823055295175,0.3473079620449835,1.0,QB,nfl_rushingTDS,elastic_net,linear
1.1828076376950925,1.6187328339346645,-0.023204547402303932,0.3473079620449835,1.0,QB,nfl_rushingTDS,ridge,linear
