name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Armanti Edwards,22,WR,Appalachian St.,89.0,2008*,12.0,84.0,1074.0,7.0,11.0,87.0,1.0,/cfb/schools/minnesota/2008.html
Armanti Edwards,22,WR,Appalachian St.,89.0,2009*,8.0,50.0,758.0,5.0,0.0,0.0,0.0,/cfb/schools/minnesota/2009.html
Armanti Edwards,22,WR,,,,3.0,0.0,0.0,0.0,,,,
Taylor Price,22,WR,Ohio,90.0,2006*,14.0,9.0,77.0,0.0,2.0,-20.0,0.0,/cfb/schools/ohio/2006.html
Taylor Price,22,WR,Ohio,90.0,2007,12.0,33.0,464.0,4.0,6.0,23.0,0.0,/cfb/schools/ohio/2007.html
Taylor Price,22,WR,Ohio,90.0,2008,12.0,51.0,694.0,5.0,5.0,19.0,0.0,/cfb/schools/ohio/2008.html
Taylor Price,22,WR,Ohio,90.0,2009*,14.0,56.0,784.0,5.0,11.0,103.0,0.0,/cfb/schools/ohio/2009.html
Taylor Price,22,WR,,,,1.0,3.0,41.0,0.0,,,,
Mardy Gilyard,23,WR,Cincinnati,99.0,2005,8.0,0.0,0.0,0.0,0.0,0.0,0.0,/cfb/schools/cincinnati/2005.html
Mardy Gilyard,23,WR,Cincinnati,99.0,2007*,13.0,36.0,536.0,3.0,0.0,0.0,0.0,/cfb/schools/cincinnati/2007.html
Mardy Gilyard,23,WR,Cincinnati,99.0,2008*,14.0,81.0,1276.0,11.0,2.0,10.0,0.0,/cfb/schools/cincinnati/2008.html
Mardy Gilyard,23,WR,Cincinnati,99.0,2009*,13.0,87.0,1191.0,11.0,5.0,16.0,1.0,/cfb/schools/cincinnati/2009.html
Mardy Gilyard,23,WR,,,,11.0,6.0,63.0,0.0,,,,
Mike Williams,23,WR,Syracuse,101.0,2006,10.0,24.0,461.0,4.0,0.0,0.0,0.0,/cfb/schools/syracuse/2006.html
Mike Williams,23,WR,Syracuse,101.0,2007,12.0,60.0,837.0,10.0,0.0,0.0,0.0,/cfb/schools/syracuse/2007.html
Mike Williams,23,WR,Syracuse,101.0,2009,7.0,49.0,746.0,6.0,1.0,-7.0,0.0,/cfb/schools/syracuse/2009.html
Mike Williams,23,WR,,,,16.0,65.0,964.0,11.0,,,,
Marcus Easley,22,WR,Connecticut,107.0,2007*,10.0,1.0,10.0,0.0,0.0,0.0,0.0,/cfb/schools/connecticut/2007.html
Marcus Easley,22,WR,Connecticut,107.0,2008*,11.0,4.0,94.0,0.0,0.0,0.0,0.0,/cfb/schools/connecticut/2008.html
Marcus Easley,22,WR,Connecticut,107.0,2009*,13.0,48.0,893.0,8.0,1.0,11.0,0.0,/cfb/schools/connecticut/2009.html
Marcus Easley,22,WR,,,,16.0,2.0,13.0,0.0,,,,
Jacoby Ford,23,WR,Clemson,108.0,2006*,13.0,15.0,187.0,2.0,8.0,104.0,0.0,/cfb/schools/clemson/2006.html
Jacoby Ford,23,WR,Clemson,108.0,2007*,8.0,17.0,310.0,4.0,14.0,172.0,0.0,/cfb/schools/clemson/2007.html
Jacoby Ford,23,WR,Clemson,108.0,2008*,13.0,55.0,710.0,4.0,18.0,96.0,0.0,/cfb/schools/clemson/2008.html
Jacoby Ford,23,WR,Clemson,108.0,2009*,14.0,56.0,779.0,6.0,18.0,122.0,2.0,/cfb/schools/clemson/2009.html
Jacoby Ford,23,WR,,,,16.0,25.0,470.0,2.0,,,,
David Reed,23,WR,Utah,156.0,2008*,13.0,25.0,427.0,6.0,1.0,15.0,1.0,/cfb/schools/utah/2008.html
David Reed,23,WR,Utah,156.0,2009*,13.0,81.0,1188.0,5.0,4.0,4.0,0.0,/cfb/schools/utah/2009.html
David Reed,23,WR,,,,13.0,0.0,0.0,0.0,,,,
Riley Cooper,22,WR,Florida,159.0,2006*,13.0,4.0,92.0,3.0,0.0,0.0,0.0,/cfb/schools/florida/2006.html
Riley Cooper,22,WR,Florida,159.0,2007*,10.0,8.0,182.0,3.0,0.0,0.0,0.0,/cfb/schools/florida/2007.html
Riley Cooper,22,WR,Florida,159.0,2008*,14.0,18.0,261.0,3.0,0.0,0.0,0.0,/cfb/schools/florida/2008.html
Riley Cooper,22,WR,Florida,159.0,2009*,14.0,51.0,961.0,9.0,1.0,14.0,0.0,/cfb/schools/florida/2009.html
Riley Cooper,22,WR,,,,13.0,7.0,116.0,1.0,,,,
Kerry Meier,23,WR,Kansas,165.0,2006,8.0,1.0,5.0,0.0,99.0,344.0,5.0,/cfb/schools/kansas/2006.html
Kerry Meier,23,WR,Kansas,165.0,2007*,13.0,26.0,274.0,2.0,15.0,78.0,1.0,/cfb/schools/kansas/2007.html
Kerry Meier,23,WR,Kansas,165.0,2008*,13.0,97.0,1045.0,8.0,2.0,-5.0,0.0,/cfb/schools/kansas/2008.html
Kerry Meier,23,WR,Kansas,165.0,2009,12.0,102.0,985.0,8.0,2.0,-2.0,0.0,/cfb/schools/kansas/2009.html
Kerry Meier,23,WR,,,,,,,,,,,
Carlton Mitchell,22,WR,South Florida,177.0,2007*,13.0,37.0,537.0,4.0,4.0,17.0,0.0,/cfb/schools/south-florida/2007.html
Carlton Mitchell,22,WR,South Florida,177.0,2008*,13.0,28.0,405.0,1.0,1.0,7.0,0.0,/cfb/schools/south-florida/2008.html
Carlton Mitchell,22,WR,South Florida,177.0,2009*,11.0,40.0,706.0,4.0,0.0,0.0,0.0,/cfb/schools/south-florida/2009.html
Carlton Mitchell,22,WR,,,,5.0,0.0,0.0,0.0,,,,
Dezmon Briscoe,21,WR,Kansas,191.0,2007*,13.0,43.0,496.0,7.0,0.0,0.0,0.0,/cfb/schools/kansas/2007.html
Dezmon Briscoe,21,WR,Kansas,191.0,2008*,13.0,92.0,1407.0,15.0,2.0,18.0,0.0,/cfb/schools/kansas/2008.html
Dezmon Briscoe,21,WR,Kansas,191.0,2009,11.0,84.0,1337.0,9.0,2.0,19.0,1.0,/cfb/schools/kansas/2009.html
Dezmon Briscoe,21,WR,,,,2.0,6.0,93.0,1.0,,,,
Antonio Brown,22,WR,Central Michigan,195.0,2007*,14.0,102.0,1003.0,6.0,10.0,74.0,1.0,/cfb/schools/central-michigan/2007.html
Antonio Brown,22,WR,Central Michigan,195.0,2008*,13.0,93.0,998.0,7.0,20.0,116.0,0.0,/cfb/schools/central-michigan/2008.html
Antonio Brown,22,WR,Central Michigan,195.0,2009*,14.0,110.0,1198.0,9.0,42.0,341.0,3.0,/cfb/schools/central-michigan/2009.html
Antonio Brown,22,WR,,,,9.0,16.0,167.0,0.0,,,,
Trindon Holliday,24,WR,,,,15.0,2.0,17.0,0.0,,,,
David Gettis,23,WR,Baylor,198.0,2006,11.0,4.0,82.0,1.0,0.0,0.0,0.0,/cfb/schools/baylor/2006.html
David Gettis,23,WR,Baylor,198.0,2007,12.0,31.0,407.0,0.0,0.0,0.0,0.0,/cfb/schools/baylor/2007.html
David Gettis,23,WR,Baylor,198.0,2008,12.0,29.0,391.0,0.0,0.0,0.0,0.0,/cfb/schools/baylor/2008.html
David Gettis,23,WR,Baylor,198.0,2009,12.0,52.0,675.0,3.0,0.0,0.0,0.0,/cfb/schools/baylor/2009.html
David Gettis,23,WR,,,,15.0,37.0,508.0,3.0,,,,
Joe Webb,23,WR,,,,,,,,,,,
Kyle Williams,22,WR,Arizona St.,206.0,2006*,6.0,4.0,87.0,0.0,0.0,0.0,0.0,/cfb/schools/arizona-state/2006.html
Kyle Williams,22,WR,Arizona St.,206.0,2007*,13.0,29.0,360.0,6.0,6.0,15.0,0.0,/cfb/schools/arizona-state/2007.html
