player_name,position,college_receiving_yards
Jacory Barney Jr.,WR,447
Bobby Golden,WR,446
Sean Brown,WR,445
Cameron Ross,WR,443
Jimmy Horn Jr.,WR,441
Jordan Napier,WR,440
Caleb Goodie,WR,436
Otto Tia,WR,434
Yannick Smith,WR,434
Hal Presley,WR,429
Raphael Williams,WR,426
Traylon Ray,WR,426
KJ Duff,WR,425
Devin McCuin,WR,424
Jordan Hudson,WR,422
Larry Simmons,WR,421
Chris Dawn Jr.,WR,418
Jarius Mack,WR,418
Corri Milliner,WR,416
Omari Evans,WR,415
Shamir Hagans,WR,413
Anthony Sambucci,WR,412
Jacob Gill,WR,411
Junior Sherrill,WR,411
Keshaun Singleton,WR,408
Devin Voisin,WR,407
Will Pauling,WR,407
Dekel Crowdus,WR,402
Stephon Johnson Jr.,WR,402
Matthew Coleman,WR,401
Trond Grizzell,WR,401
Deuce Alexander,WR,400
Carlos Hernandez,WR,397
Duce Robinson,WR,396
Charles Montgomery,WR,393
Diante Vines,WR,393
Trayvon Rudolph,WR,392
Cam Thompson,WR,391
Kelly Akharaiyi,WR,391
Jonah Panoke,WR,387
Jamari Person,WR,386
Jonathan Brady,WR,386
Kelvontay Dixon,WR,386
Qua'Vez Humphreys,WR,385
Justin Bowick,WR,383
K.D. Hutchinson,WR,383
Tiaquelin Mims,WR,383
Jabre Barber,WR,381
Squirrel White,WR,381
Donavon Greene,WR,380
Mike Brown-Stephens,WR,379
Miles Coleman,WR,378
David Amador II,WR,376
Nyck Harbor,WR,376
TJ Pride,WR,374
Ali Jennings,WR,373
Dalton Carnes,WR,371
Mario Craver,WR,368
Christian Horn,WR,367
Quincy Skinner Jr.,WR,367
Myles Butler,WR,366
Jahmal Edrine,WR,365
Kobe Paysour,WR,365
Barion Brown,WR,361
Chris Parker,WR,360
Da'Quan Felton,WR,360
Lawrence Arnold,WR,360
Keagan Johnson,WR,359
Jordan Faison,WR,356
Elijah Canion,WR,354
Tory Horton,WR,353
Marquis Johnson,WR,352
Joseph Manjack IV,WR,351
Landon Parker,WR,350
Solomon Davis,WR,350
Jamoi Mayes,WR,349
Rahkeem Smith,WR,349
Chris Durr,WR,348
Logan Loya,WR,348
Keelan Marion,WR,346
Jahdae Walker,WR,345
Kwazi Gilmer,WR,345
Carl Chester,WR,342
Armani Winfield,WR,341
Jack Hestera,WR,340
Trech Kekahuna,WR,339
Xavier Guillory,WR,339
Grayson Barnes,WR,338
Mazeo Bennett Jr.,WR,337
Caleb Medford,WR,336
T.Y. Harding,WR,334
Chris Brazzell II,WR,333
Bryson Graves,WR,327
Jacoby Jones,WR,327
Ashton Allen,WR,324
Miles Cross,WR,324
Petey Tucker,WR,324
Chris Hunter,WR,323
LV Bunkley-Shelton,WR,322
Wesley Grimes,WR,319
Kyle Ford,WR,317
Avery Boyd,WR,316
J. Michael Sturdivant,WR,315
Javian Hester,WR,315
Octavian Smith Jr.,WR,315
Cameron Wright,WR,314
Dacari Collins,WR,314
Dane Olson,WR,314
Nate Bennett,WR,314
Senika McKie,WR,314
Jay Maclin,WR,313
Noah Smith,WR,313
Dalevon Campbell,WR,312
Malik Benson,WR,311
Ahmarian Granger,WR,308
Dalton Stroman,WR,307
Jasaiah Gathings,WR,307
Jaron Tibbs,WR,305
Nic Trujillo,WR,305
Prince Strachan,WR,304
Evan Boyd,WR,302
Peyton Higgins,WR,301
Jabari Smith Jr.,WR,296
Wyatt Young,WR,295
Hank Beatty,WR,294
Money Parks,WR,294
Titus Mokiao-Atimalala,WR,294
Darrius Clemons,WR,292
Robert Williams,WR,290
Blake Bohannon,WR,289
Rodney Harris II,WR,289
Rodney Gallagher,WR,288
Melquan Stovall,WR,287
Liam Clifford,WR,286
Lemeke Brockington,WR,282
Grant Page,WR,281
Jhari Patterson,WR,281
