name,age,position,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Teagan Quitoriano,22,TE,9.0,7.0,113.0,2.0
James Mitchell,23,TE,14.0,11.0,113.0,1.0
Andrew Ogletree,24,TE,12.0,9.0,147.0,2.0
Grant Calcaterra,23,TE,15.0,5.0,81.0,0.0
Connor Heyward,23,TE,17.0,12.0,151.0,1.0
John FitzPatrick,22,TE,9.0,1.0,12.0,0.0
Ko Kieft,24,TE,17.0,7.0,80.0,1.0
Nick Muse,23,TE,10.0,0.0,0.0,0.0
Dalton Kincaid,23,TE,16.0,73.0,673.0,2.0
Sam LaPorta,22,TE,17.0,86.0,889.0,10.0
Michael Mayer,22,TE,14.0,27.0,304.0,2.0
Luke Musgrave,23,TE,11.0,34.0,352.0,1.0
Luke Schoonmaker,24,TE,17.0,8.0,65.0,2.0
Brenton Strange,22,TE,14.0,5.0,35.0,1.0
Tucker Kraft,22,TE,17.0,31.0,355.0,2.0
Darnell Washington,22,TE,17.0,7.0,61.0,0.0
Cameron Latu,23,TE,,,,
Josh Whyle,23,TE,11.0,9.0,94.0,1.0
Will Mallory,24,TE,12.0,18.0,207.0,0.0
Payne Durham,23,TE,13.0,5.0,58.0,0.0
Davis Allen,22,TE,15.0,10.0,95.0,1.0
Zack Kuntz,24,TE,,,,
Brayden Willis,23,TE,,,,
Brock Bowers,21,TE,17.0,112.0,1194.0,5.0
Ben Sinnott,22,TE,17.0,5.0,28.0,1.0
Tip Reiman,22,TE,17.0,6.0,37.0,0.0
Ja'Tavion Sanders,21,TE,16.0,33.0,342.0,1.0
Theo Johnson,23,TE,12.0,29.0,331.0,1.0
Erick All,23,TE,9.0,20.0,158.0,0.0
AJ Barner,22,TE,17.0,30.0,245.0,4.0
Cade Stover,24,TE,15.0,15.0,133.0,1.0
Jared Wiley,23,TE,7.0,1.0,7.0,0.0
Tanner McLachlan,25,TE,,,,
Jaheim Bell,23,TE,15.0,2.0,20.0,0.0
Devin Culp,24,TE,5.0,5.0,88.0,0.0
