name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Ashton Jeanty,RB,,Boise State,6.0,2025,https://www.sports-reference.com/cfb/players/ashton-jeanty-1.html,skipped after Sports Reference 403
Omarion Hampton,RB,,North Carolina,22.0,2025,https://www.sports-reference.com/cfb/players/omarion-hampton-1.html,skipped after Sports Reference 403
Quinshon Judkins,RB,,Ohio State,36.0,2025,https://www.sports-reference.com/cfb/players/quinshon-judkins-1.html,skipped after Sports Reference 403
TreVeyon Henderson,RB,,Ohio State,38.0,2025,https://www.sports-reference.com/cfb/players/treveyon-henderson-1.html,skipped after Sports Reference 403
RJ Harvey,RB,,UCF,60.0,2025,https://www.sports-reference.com/cfb/players/rj-harvey-1.html,skipped after Sports Reference 403
Kaleb Johnson,RB,,Iowa,83.0,2025,https://www.sports-reference.com/cfb/players/kaleb-johnson-1.html,skipped after Sports Reference 403
Bhayshul Tuten,RB,,Virginia Tech,104.0,2025,https://www.sports-reference.com/cfb/players/bhayshul-tuten-1.html,skipped after Sports Reference 403
Cam Skattebo,RB,,Arizona State,105.0,2025,https://www.sports-reference.com/cfb/players/cam-skattebo-1.html,skipped after Sports Reference 403
Trevor Etienne,RB,,Georgia,114.0,2025,https://www.sports-reference.com/cfb/players/trevor-etienne-1.html,skipped after Sports Reference 403
Woody Marks,RB,,USC,116.0,2025,https://www.sports-reference.com/cfb/players/woody-marks-1.html,skipped after Sports Reference 403
Jarquez Hunter,RB,,Auburn,117.0,2025,https://www.sports-reference.com/cfb/players/jarquez-hunter-1.html,skipped after Sports Reference 403
Dylan Sampson,RB,,Tennessee,126.0,2025,https://www.sports-reference.com/cfb/players/dylan-sampson-1.html,skipped after Sports Reference 403
Jordan James,RB,,Oregon,147.0,2025,https://www.sports-reference.com/cfb/players/jordan-james-1.html,skipped after Sports Reference 403
Jaydon Blue,RB,,Texas,149.0,2025,https://www.sports-reference.com/cfb/players/jaydon-blue-1.html,skipped after Sports Reference 403
DJ Giddens,RB,,Kansas State,151.0,2025,https://www.sports-reference.com/cfb/players/dj-giddens-1.html,skipped after Sports Reference 403
Ollie Gordon II,RB,,Oklahoma State,179.0,2025,https://www.sports-reference.com/cfb/players/ollie-gordon-1.html,skipped after Sports Reference 403
Devin Neal,RB,,Kansas,184.0,2025,https://www.sports-reference.com/cfb/players/devin-neal-1.html,skipped after Sports Reference 403
Kalel Mullings,RB,,Michigan,188.0,2025,https://www.sports-reference.com/cfb/players/kalel-mullings-1.html,skipped after Sports Reference 403
Tahj Brooks,RB,,Texas Tech,193.0,2025,https://www.sports-reference.com/cfb/players/tahj-brooks-1.html,skipped after Sports Reference 403
Damien Martinez,RB,,Miami (FL),223.0,2025,https://www.sports-reference.com/cfb/players/damien-martinez-1.html,skipped after Sports Reference 403
Brashard Smith,RB,,SMU,228.0,2025,https://www.sports-reference.com/cfb/players/brashard-smith-1.html,skipped after Sports Reference 403
Kyle Monangai,RB,,Rutgers,233.0,2025,https://www.sports-reference.com/cfb/players/kyle-monangai-1.html,skipped after Sports Reference 403
LeQuint Allen,RB,,Syracuse,236.0,2025,https://www.sports-reference.com/cfb/players/lequint-allen-1.html,skipped after Sports Reference 403
Phil Mafah,RB,,Clemson,239.0,2025,https://www.sports-reference.com/cfb/players/phil-mafah-1.html,skipped after Sports Reference 403
Jacory Croskey-Merritt,RB,,Arizona,245.0,2025,https://www.sports-reference.com/cfb/players/jacory-croskey-merritt-1.html,skipped after Sports Reference 403
