name,age,position,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Travis Fulgham,23,WR,3.0,0.0,0.0,0.0
Juwann Winfree,23,WR,3.0,0.0,0.0,0.0
Marcus Green,23,WR,,,,
Kelvin Harmon,22,WR,16.0,30.0,365.0,0.0
Scott Miller,22,WR,10.0,13.0,200.0,1.0
John Ursua,25,WR,3.0,1.0,11.0,0.0
Terry Godwin,22,WR,3.0,3.0,32.0,0.0
Dillon Mitchell,22,WR,,,,
Olabisi Johnson,22,WR,16.0,31.0,294.0,3.0
Henry Ruggs III,21,WR,13.0,26.0,452.0,2.0
Jerry Jeudy,21,WR,16.0,52.0,856.0,3.0
CeeDee Lamb,21,WR,16.0,74.0,935.0,5.0
Jalen Reagor,21,WR,11.0,31.0,396.0,1.0
Justin Jefferson,21,WR,16.0,88.0,1400.0,7.0
Brandon Aiyuk,22,WR,12.0,60.0,748.0,5.0
Tee Higgins,21,WR,16.0,67.0,908.0,6.0
Michael Pittman Jr.,22,WR,13.0,40.0,503.0,1.0
Laviska Shenault Jr.,21,WR,14.0,58.0,600.0,5.0
KJ Hamler,21,WR,13.0,30.0,381.0,3.0
Chase Claypool,22,WR,16.0,62.0,873.0,9.0
Van Jefferson,24,WR,16.0,19.0,220.0,1.0
Denzel Mims,22,WR,9.0,23.0,357.0,0.0
Lynn Bowden Jr.,22,WR,10.0,28.0,211.0,0.0
Bryan Edwards,21,WR,12.0,11.0,193.0,1.0
Devin Duvernay,22,WR,16.0,20.0,201.0,0.0
Gabriel Davis,21,WR,16.0,35.0,599.0,7.0
Antonio Gandy-Golden,22,WR,6.0,1.0,3.0,0.0
Joe Reed,22,WR,,,,
Tyler Johnson,22,WR,14.0,12.0,169.0,2.0
Collin Johnson,22,WR,14.0,18.0,272.0,2.0
Quintez Cephus,22,WR,13.0,20.0,349.0,2.0
John Hightower,24,WR,13.0,10.0,167.0,0.0
Isaiah Coulter,21,WR,1.0,0.0,0.0,0.0
Darnell Mooney,22,WR,16.0,61.0,631.0,4.0
K.J. Osborn,23,WR,9.0,0.0,0.0,0.0
Donovan Peoples-Jones,21,WR,12.0,14.0,304.0,2.0
Quez Watkins,22,WR,6.0,7.0,106.0,1.0
James Proche,23,WR,14.0,1.0,14.0,0.0
Isaiah Hodgins,21,WR,1.0,0.0,0.0,0.0
Dezmon Patmon,22,WR,1.0,0.0,0.0,0.0
Freddie Swain,22,WR,16.0,13.0,159.0,2.0
Jauan Jennings,23,WR,16.0,24.0,282.0,5.0
K.J. Hill,22,WR,15.0,7.0,73.0,0.0
Tyrie Cleveland,22,WR,10.0,6.0,63.0,0.0
Ja'Marr Chase,21,WR,17.0,81.0,1455.0,13.0
Jaylen Waddle,22,WR,16.0,104.0,1015.0,6.0
DeVonta Smith,22,WR,17.0,64.0,916.0,5.0
Kadarius Toney,22,WR,10.0,39.0,420.0,0.0
Rashod Bateman,21,WR,12.0,46.0,515.0,1.0
Elijah Moore,21,WR,11.0,43.0,538.0,5.0
Rondale Moore,21,WR,14.0,54.0,435.0,1.0
D'Wayne Eskridge,24,WR,10.0,10.0,64.0,1.0
Tutu Atwell,21,WR,8.0,0.0,0.0,0.0
Terrace Marshall Jr.,21,WR,13.0,17.0,138.0,0.0
Josh Palmer,21,WR,17.0,33.0,353.0,4.0
Dyami Brown,21,WR,15.0,12.0,165.0,0.0
Amari Rodgers,21,WR,16.0,4.0,45.0,0.0
Nico Collins,22,WR,14.0,33.0,446.0,1.0
Anthony Schwartz,21,WR,14.0,10.0,135.0,1.0
Dez Fitzpatrick,23,WR,4.0,5.0,49.0,1.0
Amon-Ra St. Brown,21,WR,17.0,90.0,912.0,5.0
Jaelon Darden,22,WR,9.0,6.0,43.0,0.0
Tylan Wallace,22,WR,17.0,2.0,23.0,0.0
Jacob Harris,24,WR,9.0,0.0,0.0,0.0
Ihmir Smith-Marsette,22,WR,8.0,5.0,116.0,2.0
Simi Fehoko,23,WR,5.0,0.0,0.0,0.0
Cornell Powell,23,WR,,,,
Frank Darby,23,WR,10.0,1.0,14.0,0.0
Marquez Stevenson,23,WR,,,,
Shi Smith,22,WR,6.0,6.0,104.0,0.0
Racey McMath,22,WR,9.0,2.0,8.0,0.0
Jalen Camp,23,WR,3.0,0.0,0.0,0.0
Seth Williams,21,WR,2.0,1.0,34.0,0.0
Dazz Newsome,22,WR,3.0,2.0,23.0,0.0
Mike Strachan,24,WR,6.0,2.0,26.0,0.0
Tre Nixon,23,WR,,,,
Ben Skowronek,24,WR,14.0,11.0,133.0,0.0
Kawaan Baker,23,WR,,,,
Dax Milne,22,WR,13.0,9.0,83.0,0.0
Drake London,21,WR,17.0,72.0,866.0,4.0
Garrett Wilson,22,WR,17.0,83.0,1103.0,4.0
Chris Olave,22,WR,15.0,72.0,1042.0,4.0
Jameson Williams,21,WR,6.0,1.0,41.0,1.0
Jahan Dotson,22,WR,12.0,35.0,523.0,7.0
Treylon Burks,22,WR,11.0,33.0,444.0,1.0
Christian Watson,23,WR,14.0,41.0,611.0,7.0
Wan'Dale Robinson,21,WR,6.0,23.0,227.0,1.0
John Metchie,22,WR,16.0,16.0,158.0,0.0
Tyquan Thornton,21,WR,13.0,22.0,247.0,2.0
George Pickens,21,WR,17.0,52.0,801.0,4.0
Alec Pierce,22,WR,16.0,41.0,593.0,2.0
Skyy Moore,21,WR,16.0,22.0,250.0,0.0
Velus Jones Jr.,25,WR,,,,
Jalen Tolbert,23,WR,8.0,2.0,12.0,0.0
David Bell,21,WR,16.0,24.0,214.0,0.0
Danny Gray,23,WR,,,,
Erik Ezukanma,22,WR,,,,
Romeo Doubs,22,WR,13.0,42.0,425.0,3.0
Calvin Austin III,23,WR,17.0,17.0,180.0,1.0
Khalil Shakir,22,WR,14.0,10.0,161.0,1.0
Montrell Washington,23,WR,,,,
Kyle Philips,23,WR,4.0,8.0,78.0,0.0
Jalen Nailor,23,WR,15.0,9.0,179.0,1.0
Michael Woods II,22,WR,10.0,5.0,45.0,0.0
Bo Melton,23,WR,5.0,16.0,218.0,1.0
Dareke Young,23,WR,13.0,2.0,24.0,0.0
Samori Toure,24,WR,11.0,5.0,82.0,1.0
Jaxon Smith-Njigba,21,WR,17.0,63.0,628.0,4.0
Quentin Johnston,22,WR,17.0,38.0,431.0,2.0
Zay Flowers,22,WR,16.0,77.0,858.0,5.0
Jordan Addison,21,WR,17.0,70.0,911.0,10.0
Jonathan Mingo,22,WR,15.0,43.0,418.0,0.0
Jayden Reed,23,WR,16.0,64.0,793.0,8.0
Rashee Rice,23,WR,16.0,79.0,938.0,7.0
Marvin Mims,21,WR,16.0,22.0,377.0,1.0
Tank Dell,23,WR,11.0,47.0,709.0,7.0
Jalin Hyatt,21,WR,17.0,23.0,373.0,0.0
Cedric Tillman,23,WR,14.0,21.0,224.0,0.0
Josh Downs,22,WR,17.0,68.0,771.0,2.0
Michael Wilson,23,WR,13.0,38.0,565.0,3.0
Tre Tucker,22,WR,16.0,19.0,331.0,2.0
Derius Davis,22,WR,17.0,15.0,66.0,0.0
Charlie Jones,24,WR,11.0,7.0,64.0,0.0
Tyler Scott,21,WR,17.0,17.0,168.0,0.0
Justin Shorter,23,WR,,,,
Dontayvion Wicks,22,WR,15.0,39.0,581.0,4.0
Puka Nacua,22,WR,17.0,105.0,1486.0,6.0
Parker Washington,21,WR,9.0,16.0,132.0,2.0
Kayshon Boutte,21,WR,5.0,2.0,19.0,0.0
Trey Palmer,22,WR,17.0,39.0,385.0,3.0
A.T. Perry,23,WR,10.0,12.0,246.0,4.0
Elijah Higgins,22,WR,11.0,14.0,163.0,1.0
Xavier Hutchinson,23,WR,16.0,8.0,90.0,0.0
Andrei Iosivas,23,WR,16.0,15.0,116.0,4.0
Demario Douglas,22,WR,14.0,49.0,561.0,0.0
Antoine Green,23,WR,9.0,1.0,2.0,0.0
Colton Dowell,24,WR,10.0,1.0,3.0,0.0
Jalen Brooks,23,WR,7.0,6.0,64.0,0.0
Ronnie Bell,23,WR,17.0,6.0,68.0,3.0
Grant Dubose,22,WR,3.0,2.0,11.0,0.0
Marvin Harrison Jr.,22,WR,17.0,62.0,885.0,8.0
Malik Nabers,21,WR,15.0,109.0,1204.0,7.0
Rome Odunze,22,WR,17.0,54.0,734.0,3.0
Brian Thomas,21,WR,17.0,87.0,1282.0,10.0
Xavier Worthy,21,WR,17.0,59.0,638.0,6.0
Ricky Pearsall,23,WR,11.0,31.0,400.0,3.0
Xavier Legette,23,WR,16.0,49.0,497.0,4.0
Keon Coleman,21,WR,13.0,29.0,556.0,4.0
Ladd McConkey,22,WR,16.0,82.0,1149.0,7.0
Ja'Lynn Polk,22,WR,15.0,12.0,87.0,2.0
Adonai Mitchell,21,WR,17.0,23.0,312.0,0.0
Malachi Corley,22,WR,9.0,3.0,16.0,0.0
Jermaine Burton,23,WR,14.0,4.0,107.0,0.0
Roman Wilson,23,WR,,,,
Jalen McMillan,22,WR,13.0,37.0,461.0,8.0
Luke McCaffrey,23,WR,17.0,18.0,168.0,0.0
Troy Franklin,21,WR,16.0,28.0,263.0,2.0
Javon Baker,22,WR,11.0,1.0,12.0,0.0
Devontez Walker,23,WR,9.0,1.0,21.0,1.0
Jacob Cowing,23,WR,15.0,4.0,80.0,0.0
Anthony Gould,23,WR,8.0,1.0,23.0,0.0
Ainias Smith,23,WR,7.0,7.0,41.0,1.0
Jamari Thrash,23,WR,9.0,3.0,22.0,0.0
Bub Means,23,WR,7.0,9.0,118.0,1.0
Jha'Quan Jackson,24,WR,12.0,1.0,8.0,0.0
Malik Washington,23,WR,14.0,26.0,223.0,0.0
Johnny Wilson,23,WR,16.0,5.0,38.0,1.0
Casey Washington,23,WR,8.0,1.0,14.0,0.0
Tejhaun Palmer,24,WR,,,,
Jordan Whittington,23,WR,15.0,22.0,293.0,0.0
Ryan Flournoy,24,WR,11.0,10.0,102.0,0.0
Brenden Rice,22,WR,,,,
Devaughn Vele,26,WR,13.0,41.0,475.0,3.0
Tahj Washington,23,WR,,,,
Cornelius Johnson,23,WR,,,,
