name,position,age,school,draft_pick,rookie_year,college_profile_url
Oscar Delp,TE,,Georgia,73.0,2026,https://www.sports-reference.com/cfb/players/oscar-delp-1.html
Malachi Fields,WR,,Notre Dame,74.0,2026,https://www.sports-reference.com/cfb/players/malachi-fields-1.html
Caleb Douglas,WR,,Texas Tech,75.0,2026,https://www.sports-reference.com/cfb/players/caleb-douglas-1.html
Drew Allar,QB,,Penn State,76.0,2026,https://www.sports-reference.com/cfb/players/drew-allar-1.html
Zachariah Branch,WR,,Georgia,79.0,2026,https://www.sports-reference.com/cfb/players/zachariah-branch-1.html
Ja'Kobi Lane,WR,,USC,80.0,2026,https://www.sports-reference.com/cfb/players/ja'kobi-lane-1.html
Chris Brazzell II,WR,,Tennessee,83.0,2026,https://www.sports-reference.com/cfb/players/chris-brazzell-1.html
Ted Hurst,WR,,Georgia State,84.0,2026,https://www.sports-reference.com/cfb/players/ted-hurst-1.html
Will Kacmarek,TE,,Ohio State,87.0,2026,https://www.sports-reference.com/cfb/players/will-kacmarek-1.html
Zavion Thomas,WR,,LSU,89.0,2026,https://www.sports-reference.com/cfb/players/zavion-thomas-1.html
Kaelon Black,RB,,Indiana,90.0,2026,https://www.sports-reference.com/cfb/players/kaelon-black-1.html
Chris Bell,WR,,Louisville,94.0,2026,https://www.sports-reference.com/cfb/players/chris-bell-1.html
Eli Raridon,TE,,Notre Dame,95.0,2026,https://www.sports-reference.com/cfb/players/eli-raridon-1.html
Brenen Thompson,WR,,Mississippi State,105.0,2026,https://www.sports-reference.com/cfb/players/brenen-thompson-1.html
Jonah Coleman,RB,,Washington,108.0,2026,https://www.sports-reference.com/cfb/players/jonah-coleman-1.html
Cade Klubnik,QB,,Clemson,110.0,2026,https://www.sports-reference.com/cfb/players/cade-klubnik-1.html
Elijah Sarratt,WR,,Indiana,115.0,2026,https://www.sports-reference.com/cfb/players/elijah-sarratt-1.html
Kaden Wetjen,WR,,Iowa,121.0,2026,https://www.sports-reference.com/cfb/players/kaden-wetjen-1.html
Mike Washington Jr.,RB,,Arkansas,122.0,2026,https://www.sports-reference.com/cfb/players/mike-washington-1.html
Skyler Bell,WR,,UConn,125.0,2026,https://www.sports-reference.com/cfb/players/skyler-bell-1.html
Matthew Hibner,TE,,SMU,133.0,2026,https://www.sports-reference.com/cfb/players/matthew-hibner-1.html
Bryce Lance,WR,,North Dakota State,136.0,2026,https://www.sports-reference.com/cfb/players/bryce-lance-1.html
Colbie Young,WR,,Georgia,140.0,2026,https://www.sports-reference.com/cfb/players/colbie-young-1.html
Reggie Virgil,WR,,Texas Tech,143.0,2026,https://www.sports-reference.com/cfb/players/reggie-virgil-1.html
Justin Joly,TE,,NC State,152.0,2026,https://www.sports-reference.com/cfb/players/justin-joly-1.html
Emmett Johnson,RB,,Nebraska,161.0,2026,https://www.sports-reference.com/cfb/players/emmett-johnson-1.html
Tanner Koziol,TE,,Houston,164.0,2026,https://www.sports-reference.com/cfb/players/tanner-koziol-1.html
Nicholas Singleton,RB,,Penn State,165.0,2026,https://www.sports-reference.com/cfb/players/nicholas-singleton-1.html
Kendrick Law,WR,,Kentucky,168.0,2026,https://www.sports-reference.com/cfb/players/kendrick-law-1.html
Riley Nowakowski,TE,,Indiana,169.0,2026,https://www.sports-reference.com/cfb/players/riley-nowakowski-1.html
Joe Royer,TE,,Cincinnati,170.0,2026,https://www.sports-reference.com/cfb/players/joe-royer-1.html
Josh Cuevas,TE,,Alabama,173.0,2026,https://www.sports-reference.com/cfb/players/josh-cuevas-1.html
Adam Randall,RB,,Clemson,174.0,2026,https://www.sports-reference.com/cfb/players/adam-randall-1.html
Cyrus Allen,WR,,Cincinnati,176.0,2026,https://www.sports-reference.com/cfb/players/cyrus-allen-1.html
Kevin Coleman Jr.,WR,,Missouri,177.0,2026,https://www.sports-reference.com/cfb/players/kevin-coleman-1.html
Cole Payton,QB,,North Dakota State,178.0,2026,https://www.sports-reference.com/cfb/players/cole-payton-1.html
Seydou Traore,TE,,Mississippi State,180.0,2026,https://www.sports-reference.com/cfb/players/seydou-traore-1.html
Taylen Green,QB,,Arkansas,182.0,2026,https://www.sports-reference.com/cfb/players/taylen-green-1.html
Bauer Sharp,TE,,LSU,185.0,2026,https://www.sports-reference.com/cfb/players/bauer-sharp-1.html
Kaytron Allen,RB,,Penn State,187.0,2026,https://www.sports-reference.com/cfb/players/kaytron-allen-1.html
Barion Brown,WR,,LSU,190.0,2026,https://www.sports-reference.com/cfb/players/barion-brown-1.html
Josh Cameron,WR,,Baylor,191.0,2026,https://www.sports-reference.com/cfb/players/josh-cameron-1.html
Malik Benson,WR,,Oregon,195.0,2026,https://www.sports-reference.com/cfb/players/malik-benson-1.html
CJ Daniels,WR,,Miami (FL),197.0,2026,https://www.sports-reference.com/cfb/players/cj-daniels-1.html
Demond Claiborne,RB,,Wake Forest,198.0,2026,https://www.sports-reference.com/cfb/players/demond-claiborne-1.html
Emmanuel Henderson Jr.,WR,,Kansas,199.0,2026,https://www.sports-reference.com/cfb/players/emmanuel-henderson-1.html
CJ Williams,WR,,Stanford,203.0,2026,https://www.sports-reference.com/cfb/players/cj-williams-1.html
Lewis Bond,WR,,Boston College,204.0,2026,https://www.sports-reference.com/cfb/players/lewis-bond-1.html
Anthony Smith,WR,,East Carolina,218.0,2026,https://www.sports-reference.com/cfb/players/anthony-smith-1.html
Jack Endries,TE,,Texas,221.0,2026,https://www.sports-reference.com/cfb/players/jack-endries-1.html
Athan Kaliakmanis,QB,,Rutgers,223.0,2026,https://www.sports-reference.com/cfb/players/athan-kaliakmanis-1.html
Jaren Kanak,TE,,Oklahoma,225.0,2026,https://www.sports-reference.com/cfb/players/jaren-kanak-1.html
Eli Heidenreich,RB,,Navy,230.0,2026,https://www.sports-reference.com/cfb/players/eli-heidenreich-1.html
Behren Morton,QB,,Texas Tech,234.0,2026,https://www.sports-reference.com/cfb/players/behren-morton-1.html
Seth McGowan,RB,,Kentucky,237.0,2026,https://www.sports-reference.com/cfb/players/seth-mcgowan-1.html
Jam Miller,RB,,Alabama,245.0,2026,https://www.sports-reference.com/cfb/players/jam-miller-1.html
Carsen Ryan,TE,,BYU,248.0,2026,https://www.sports-reference.com/cfb/players/carsen-ryan-1.html
Garrett Nussmeier,QB,,LSU,249.0,2026,https://www.sports-reference.com/cfb/players/garrett-nussmeier-1.html
Deion Burks,WR,,Oklahoma,254.0,2026,https://www.sports-reference.com/cfb/players/deion-burks-1.html
Dallen Bentley,TE,,Utah,256.0,2026,https://www.sports-reference.com/cfb/players/dallen-bentley-1.html
