name,position,age,school,draft_pick,rookie_year,college_profile_url
Fernando Mendoza,QB,,Indiana,1.0,2026,https://www.sports-reference.com/cfb/players/fernando-mendoza-1.html
Jeremiyah Love,RB,,Notre Dame,3.0,2026,https://www.sports-reference.com/cfb/players/jeremiyah-love-1.html
Carnell Tate,WR,,Ohio State,4.0,2026,https://www.sports-reference.com/cfb/players/carnell-tate-1.html
Jordyn Tyson,WR,,Arizona State,8.0,2026,https://www.sports-reference.com/cfb/players/jordyn-tyson-1.html
Ty Simpson,QB,,Alabama,13.0,2026,https://www.sports-reference.com/cfb/players/ty-simpson-1.html
Kenyon Sadiq,TE,,Oregon,16.0,2026,https://www.sports-reference.com/cfb/players/kenyon-sadiq-1.html
Makai Lemon,WR,,USC,20.0,2026,https://www.sports-reference.com/cfb/players/makai-lemon-1.html
KC Concepcion,WR,,Texas A&M,24.0,2026,https://www.sports-reference.com/cfb/players/kc-concepcion-1.html
Omar Cooper Jr.,WR,,Indiana,30.0,2026,https://www.sports-reference.com/cfb/players/omar-cooper-1.html
Jadarian Price,RB,,Notre Dame,32.0,2026,https://www.sports-reference.com/cfb/players/jadarian-price-1.html
De'Zhaun Stribling,WR,,Ole Miss,33.0,2026,https://www.sports-reference.com/cfb/players/de'zhaun-stribling-1.html
Denzel Boston,WR,,Washington,39.0,2026,https://www.sports-reference.com/cfb/players/denzel-boston-1.html
Germie Bernard,WR,,Alabama,47.0,2026,https://www.sports-reference.com/cfb/players/germie-bernard-1.html
Eli Stowers,TE,,Vanderbilt,54.0,2026,https://www.sports-reference.com/cfb/players/eli-stowers-1.html
Nate Boerkircher,TE,,Texas A&M,56.0,2026,https://www.sports-reference.com/cfb/players/nate-boerkircher-1.html
Marlin Klein,TE,,Michigan,59.0,2026,https://www.sports-reference.com/cfb/players/marlin-klein-1.html
Max Klare,TE,,Ohio State,61.0,2026,https://www.sports-reference.com/cfb/players/max-klare-1.html
Carson Beck,QB,,Miami (FL),65.0,2026,https://www.sports-reference.com/cfb/players/carson-beck-1.html
Sam Roush,TE,,Stanford,69.0,2026,https://www.sports-reference.com/cfb/players/sam-roush-1.html
Antonio Williams,WR,,Clemson,71.0,2026,https://www.sports-reference.com/cfb/players/antonio-williams-1.html
