name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Tetairoa McMillan,WR,,Arizona,8.0,2025,https://www.sports-reference.com/cfb/players/tetairoa-mcmillan-1.html,skipped after Sports Reference 403
Emeka Egbuka,WR,,Ohio State,19.0,2025,https://www.sports-reference.com/cfb/players/emeka-egbuka-1.html,skipped after Sports Reference 403
Matthew Golden,WR,,Texas,23.0,2025,https://www.sports-reference.com/cfb/players/matthew-golden-1.html,skipped after Sports Reference 403
Jayden Higgins,WR,,Iowa State,34.0,2025,https://www.sports-reference.com/cfb/players/jayden-higgins-1.html,skipped after Sports Reference 403
Luther Burden III,WR,,Missouri,39.0,2025,https://www.sports-reference.com/cfb/players/luther-burden-1.html,skipped after Sports Reference 403
Tre Harris,WR,,Ole Miss,55.0,2025,https://www.sports-reference.com/cfb/players/tre-harris-1.html,skipped after Sports Reference 403
Jack Bech,WR,,TCU,58.0,2025,https://www.sports-reference.com/cfb/players/jack-bech-1.html,skipped after Sports Reference 403
Kyle Williams,WR,,Washington State,69.0,2025,https://www.sports-reference.com/cfb/players/kyle-williams-1.html,skipped after Sports Reference 403
Isaac TeSlaa,WR,,Arkansas,70.0,2025,https://www.sports-reference.com/cfb/players/isaac-teslaa-1.html,skipped after Sports Reference 403
Pat Bryant,WR,,Illinois,74.0,2025,https://www.sports-reference.com/cfb/players/pat-bryant-1.html,skipped after Sports Reference 403
Jaylin Noel,WR,,Iowa State,79.0,2025,https://www.sports-reference.com/cfb/players/jaylin-noel-1.html,skipped after Sports Reference 403
Savion Williams,WR,,TCU,87.0,2025,https://www.sports-reference.com/cfb/players/savion-williams-1.html,skipped after Sports Reference 403
Tai Felton,WR,,Maryland,102.0,2025,https://www.sports-reference.com/cfb/players/tai-felton-1.html,skipped after Sports Reference 403
Chimere Dike,WR,,Florida,103.0,2025,https://www.sports-reference.com/cfb/players/chimere-dike-1.html,skipped after Sports Reference 403
Dont'e Thornton,WR,,Tennessee,108.0,2025,https://www.sports-reference.com/cfb/players/dont'e-thornton-1.html,skipped after Sports Reference 403
Arian Smith,WR,,Georgia,110.0,2025,https://www.sports-reference.com/cfb/players/arian-smith-1.html,skipped after Sports Reference 403
Jaylin Lane,WR,,Virginia Tech,128.0,2025,https://www.sports-reference.com/cfb/players/jaylin-lane-1.html,skipped after Sports Reference 403
Jalen Royals,WR,,Utah State,133.0,2025,https://www.sports-reference.com/cfb/players/jalen-royals-1.html,skipped after Sports Reference 403
Elic Ayomanor,WR,,Stanford,136.0,2025,https://www.sports-reference.com/cfb/players/elic-ayomanor-1.html,skipped after Sports Reference 403
Jordan Watkins,WR,,Ole Miss,138.0,2025,https://www.sports-reference.com/cfb/players/jordan-watkins-1.html,skipped after Sports Reference 403
KeAndre Lambert-Smith,WR,,Auburn,158.0,2025,https://www.sports-reference.com/cfb/players/keandre-lambert-smith-1.html,skipped after Sports Reference 403
Tory Horton,WR,,Colorado State,166.0,2025,https://www.sports-reference.com/cfb/players/tory-horton-1.html,skipped after Sports Reference 403
LaJohntay Wester,WR,,Colorado,203.0,2025,https://www.sports-reference.com/cfb/players/lajohntay-wester-1.html,skipped after Sports Reference 403
Jimmy Horn Jr.,WR,,Colorado,208.0,2025,https://www.sports-reference.com/cfb/players/jimmy-horn-1.html,skipped after Sports Reference 403
Tommy Mellott,WR,,Montana State,213.0,2025,https://www.sports-reference.com/cfb/players/tommy-mellott-1.html,skipped after Sports Reference 403
Tez Johnson,WR,,Oregon,235.0,2025,https://www.sports-reference.com/cfb/players/tez-johnson-1.html,skipped after Sports Reference 403
Ricky White III,WR,,UNLV,238.0,2025,https://www.sports-reference.com/cfb/players/ricky-white-1.html,skipped after Sports Reference 403
Kaden Prather,WR,,Maryland,240.0,2025,https://www.sports-reference.com/cfb/players/kaden-prather-1.html,skipped after Sports Reference 403
Konata Mumpfield,WR,,Pittsburgh,242.0,2025,https://www.sports-reference.com/cfb/players/konata-mumpfield-1.html,skipped after Sports Reference 403
Dominic Lovett,WR,,Georgia,244.0,2025,https://www.sports-reference.com/cfb/players/dominic-lovett-1.html,skipped after Sports Reference 403
Junior Bergen,WR,,Montana,252.0,2025,https://www.sports-reference.com/cfb/players/junior-bergen-1.html,skipped after Sports Reference 403
