name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Karlos Williams,22,RB,Florida St.,155.0,2012*,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Karlos Williams,22,RB,Florida St.,155.0,2013*,14.0,91.0,730.0,11.0,8.0,63.0,0.0,,
Karlos Williams,22,RB,Florida St.,155.0,2014*,12.0,150.0,689.0,11.0,29.0,265.0,1.0,,
Karlos Williams,22,RB,,,,11.0,,,,11.0,96.0,2.0,517.0,7.0
Cameron Artis-Payne,25,RB,Auburn,174.0,2013*,13.0,91.0,610.0,6.0,1.0,4.0,0.0,,
Cameron Artis-Payne,25,RB,Auburn,174.0,2014*,13.0,303.0,1608.0,13.0,13.0,147.0,0.0,,
Cameron Artis-Payne,25,RB,,,,7.0,,,,5.0,58.0,0.0,183.0,1.0
Josh Robinson,23,RB,Mississippi St.,205.0,2012*,12.0,55.0,335.0,1.0,3.0,8.0,0.0,,
Josh Robinson,23,RB,Mississippi St.,205.0,2013*,13.0,78.0,459.0,3.0,12.0,115.0,0.0,,
Josh Robinson,23,RB,Mississippi St.,205.0,2014*,13.0,190.0,1203.0,11.0,28.0,370.0,1.0,,
Josh Robinson,23,RB,,,,5.0,,,,6.0,33.0,0.0,39.0,0.0
Marcus Murphy,23,RB,Missouri,230.0,2010*,12.0,22.0,181.0,2.0,2.0,5.0,0.0,,
Marcus Murphy,23,RB,Missouri,230.0,2012,12.0,46.0,251.0,1.0,9.0,22.0,0.0,,
Marcus Murphy,23,RB,Missouri,230.0,2013*,14.0,92.0,601.0,9.0,11.0,79.0,1.0,,
Marcus Murphy,23,RB,Missouri,230.0,2014*,14.0,177.0,924.0,4.0,28.0,212.0,1.0,,
Marcus Murphy,23,RB,,,,13.0,,,,0.0,0.0,0.0,0.0,0.0
Kenny Hilliard,23,RB,LSU,235.0,2011*,13.0,62.0,336.0,8.0,3.0,13.0,1.0,,
Kenny Hilliard,23,RB,LSU,235.0,2012*,12.0,82.0,464.0,6.0,3.0,21.0,0.0,,
Kenny Hilliard,23,RB,LSU,235.0,2013*,12.0,68.0,310.0,7.0,1.0,0.0,0.0,,
Kenny Hilliard,23,RB,LSU,235.0,2014*,11.0,90.0,447.0,6.0,4.0,35.0,0.0,,
Kenny Hilliard,23,RB,,,,,,,,,,,,
Ezekiel Elliott,21,RB,Ohio St.,4.0,2013*,7.0,30.0,262.0,2.0,3.0,23.0,1.0,,
Ezekiel Elliott,21,RB,Ohio St.,4.0,2014*,15.0,273.0,1878.0,18.0,28.0,220.0,0.0,,
Ezekiel Elliott,21,RB,Ohio St.,4.0,2015*,13.0,289.0,1821.0,23.0,27.0,206.0,0.0,,
Ezekiel Elliott,21,RB,,,,15.0,,,,32.0,363.0,1.0,1631.0,15.0
Derrick Henry,22,RB,Alabama,45.0,2013*,10.0,35.0,382.0,3.0,1.0,61.0,1.0,,
Derrick Henry,22,RB,Alabama,45.0,2014*,14.0,172.0,990.0,11.0,5.0,133.0,2.0,,
Derrick Henry,22,RB,Alabama,45.0,2015*,15.0,395.0,2219.0,28.0,11.0,91.0,0.0,,
Derrick Henry,22,RB,,,,15.0,,,,13.0,137.0,0.0,490.0,5.0
Kenyan Drake,22,RB,Alabama,73.0,2012*,12.0,42.0,281.0,5.0,0.0,0.0,0.0,,
Kenyan Drake,22,RB,Alabama,73.0,2013*,11.0,92.0,694.0,8.0,12.0,135.0,1.0,,
Kenyan Drake,22,RB,Alabama,73.0,2014*,5.0,22.0,112.0,4.0,5.0,159.0,2.0,,
Kenyan Drake,22,RB,Alabama,73.0,2015*,13.0,77.0,408.0,1.0,29.0,276.0,1.0,,
Kenyan Drake,22,RB,,,,16.0,,,,9.0,46.0,0.0,179.0,2.0
C.J. Prosise,22,RB,Notre Dame,90.0,2013*,9.0,0.0,0.0,0.0,7.0,72.0,0.0,,
C.J. Prosise,22,RB,Notre Dame,90.0,2014*,13.0,10.0,126.0,1.0,29.0,516.0,2.0,,
C.J. Prosise,22,RB,Notre Dame,90.0,2015*,11.0,156.0,1032.0,11.0,26.0,308.0,1.0,,
C.J. Prosise,22,RB,,,,6.0,,,,17.0,208.0,0.0,172.0,1.0
Tyler Ervin,22,RB,San Jose St.,119.0,2011,12.0,29.0,107.0,1.0,3.0,17.0,0.0,,
Tyler Ervin,22,RB,San Jose St.,119.0,2012*,9.0,45.0,205.0,1.0,10.0,126.0,1.0,,
Tyler Ervin,22,RB,San Jose St.,119.0,2013,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,
Tyler Ervin,22,RB,San Jose St.,119.0,2014,12.0,158.0,888.0,4.0,29.0,306.0,1.0,,
Tyler Ervin,22,RB,San Jose St.,119.0,2015*,13.0,294.0,1601.0,13.0,45.0,334.0,2.0,,
Tyler Ervin,22,RB,,,,,,,,,,,,
