name,position,age,school,draft_pick,rookie_year,college_profile_url,scrape_error
Kenyon Sadiq,TE,,Oregon,16.0,2026,https://www.sports-reference.com/cfb/players/kenyon-sadiq-1.html,skipped after Sports Reference 403
Eli Stowers,TE,,Vanderbilt,54.0,2026,https://www.sports-reference.com/cfb/players/eli-stowers-1.html,skipped after Sports Reference 403
Nate Boerkircher,TE,,Texas A&M,56.0,2026,https://www.sports-reference.com/cfb/players/nate-boerkircher-1.html,skipped after Sports Reference 403
Marlin Klein,TE,,Michigan,59.0,2026,https://www.sports-reference.com/cfb/players/marlin-klein-1.html,skipped after Sports Reference 403
Max Klare,TE,,Ohio State,61.0,2026,https://www.sports-reference.com/cfb/players/max-klare-1.html,skipped after Sports Reference 403
Sam Roush,TE,,Stanford,69.0,2026,https://www.sports-reference.com/cfb/players/sam-roush-1.html,skipped after Sports Reference 403
Oscar Delp,TE,,Georgia,73.0,2026,https://www.sports-reference.com/cfb/players/oscar-delp-1.html,skipped after Sports Reference 403
Will Kacmarek,TE,,Ohio State,87.0,2026,https://www.sports-reference.com/cfb/players/will-kacmarek-1.html,skipped after Sports Reference 403
Eli Raridon,TE,,Notre Dame,95.0,2026,https://www.sports-reference.com/cfb/players/eli-raridon-1.html,skipped after Sports Reference 403
Matthew Hibner,TE,,SMU,133.0,2026,https://www.sports-reference.com/cfb/players/matthew-hibner-1.html,skipped after Sports Reference 403
Justin Joly,TE,,NC State,152.0,2026,https://www.sports-reference.com/cfb/players/justin-joly-1.html,skipped after Sports Reference 403
Tanner Koziol,TE,,Houston,164.0,2026,https://www.sports-reference.com/cfb/players/tanner-koziol-1.html,skipped after Sports Reference 403
Riley Nowakowski,TE,,Indiana,169.0,2026,https://www.sports-reference.com/cfb/players/riley-nowakowski-1.html,skipped after Sports Reference 403
Joe Royer,TE,,Cincinnati,170.0,2026,https://www.sports-reference.com/cfb/players/joe-royer-1.html,skipped after Sports Reference 403
Josh Cuevas,TE,,Alabama,173.0,2026,https://www.sports-reference.com/cfb/players/josh-cuevas-1.html,skipped after Sports Reference 403
Seydou Traore,TE,,Mississippi State,180.0,2026,https://www.sports-reference.com/cfb/players/seydou-traore-1.html,skipped after Sports Reference 403
Bauer Sharp,TE,,LSU,185.0,2026,https://www.sports-reference.com/cfb/players/bauer-sharp-1.html,skipped after Sports Reference 403
Jack Endries,TE,,Texas,221.0,2026,https://www.sports-reference.com/cfb/players/jack-endries-1.html,skipped after Sports Reference 403
Jaren Kanak,TE,,Oklahoma,225.0,2026,https://www.sports-reference.com/cfb/players/jaren-kanak-1.html,skipped after Sports Reference 403
Carsen Ryan,TE,,BYU,248.0,2026,https://www.sports-reference.com/cfb/players/carsen-ryan-1.html,skipped after Sports Reference 403
Dallen Bentley,TE,,Utah,256.0,2026,https://www.sports-reference.com/cfb/players/dallen-bentley-1.html,skipped after Sports Reference 403
